,candidate,party,party_short,color,score
0,Nathalie Arthaud,Lutte Ouvrière,LO,#AA0000,0.56
1,Fabien Roussel,Parti Communiste Français,PCF,#DD0000,2.28
2,Emmanuel Macron,La République en marche,LREM,#FFD600,27.85
3,Jean Lassalle,Resistons,RES,#26c4ec,3.13
4,Marine Le Pen,Rassemblement National,RN,#0D378A,23.15
5,Eric Zemmour,Reconquête,REC,#404040,7.07
6,Jean-Luc Mélenchon,La France Insoumise,LFI,#cc2443,21.95
7,Anne Hidalgo,Parti Socialiste,PS,#FF8080,1.75
8,Yannick Jadot,Europe Ecologie Les Verts,EELV,#00c000,4.63
9,Valérie Pecresse,Les Républicains,LR,#0066CC,4.78
10,Philippe Poutou,Nouveau Parti Anticapitaliste,NPA,#bb0000,0.77
11,Nicolas Dupont-Aignan,Debout La France,DLF,#0082C4,2.06
