dataset,year,file,rule,axis,score,n_voters,active_voters,n_candidates
Crolles,France 2017,approval.csv,Voter Deletion,François Asselineau < Jacques Cheminade < Nicolas Dupont-Aignan < Marine Le Pen < François Fillon < Emmanuel Macron < Benoît Hamon < Jean-Luc Mélenchon < Philippe Poutou < Nathalie Arthaud < Jean Lassalle,466.78149416464777,1321,1070,11
Crolles,France 2017,approval.csv,Minimal Flips,Jacques Cheminade < François Asselineau < Nicolas Dupont-Aignan < Marine Le Pen < François Fillon < Emmanuel Macron < Benoît Hamon < Jean-Luc Mélenchon < Philippe Poutou < Nathalie Arthaud < Jean Lassalle,589.3096340722544,1321,1070,11
Crolles,France 2017,approval.csv,Ballot Completion,Jacques Cheminade < François Asselineau < Jean Lassalle < Nicolas Dupont-Aignan < Marine Le Pen < François Fillon < Emmanuel Macron < Benoît Hamon < Jean-Luc Mélenchon < Philippe Poutou < Nathalie Arthaud,1095.240534630012,1321,1070,11
Crolles,France 2017,approval.csv,Minimal Swaps,Jacques Cheminade < François Asselineau < Jean Lassalle < Nicolas Dupont-Aignan < Marine Le Pen < François Fillon < Emmanuel Macron < Jean-Luc Mélenchon < Benoît Hamon < Philippe Poutou < Nathalie Arthaud,1238.5536008239887,1321,1070,11
Crolles,France 2017,approval.csv,Forbidden Triples,Jacques Cheminade < François Asselineau < Jean Lassalle < Nicolas Dupont-Aignan < Marine Le Pen < François Fillon < Emmanuel Macron < Jean-Luc Mélenchon < Benoît Hamon < Philippe Poutou < Nathalie Arthaud,2816.3196472937707,1321,1070,11
Crolles,France 2017,approval_with_runoff_1.csv,Voter Deletion,Jean Lassalle < Jacques Cheminade < François Asselineau < Nicolas Dupont-Aignan < Marine Le Pen < François Fillon < Emmanuel Macron < Benoît Hamon < Jean-Luc Mélenchon < Philippe Poutou < Nathalie Arthaud,484.8567338851829,1296,1116,11
Crolles,France 2017,approval_with_runoff_1.csv,Minimal Flips,Jean Lassalle < Jacques Cheminade < François Asselineau < Nicolas Dupont-Aignan < Marine Le Pen < François Fillon < Emmanuel Macron < Benoît Hamon < Jean-Luc Mélenchon < Philippe Poutou < Nathalie Arthaud,600.5241040820994,1296,1116,11
Crolles,France 2017,approval_with_runoff_1.csv,Ballot Completion,Jacques Cheminade < François Asselineau < Jean Lassalle < Nicolas Dupont-Aignan < Marine Le Pen < François Fillon < Emmanuel Macron < Benoît Hamon < Jean-Luc Mélenchon < Philippe Poutou < Nathalie Arthaud,1084.6550602440225,1296,1116,11
Crolles,France 2017,approval_with_runoff_1.csv,Minimal Swaps,Jacques Cheminade < François Asselineau < Jean Lassalle < Nicolas Dupont-Aignan < Marine Le Pen < François Fillon < Emmanuel Macron < Benoît Hamon < Jean-Luc Mélenchon < Philippe Poutou < Nathalie Arthaud,1201.9815622014753,1296,1116,11
Crolles,France 2017,approval_with_runoff_1.csv,Forbidden Triples,Jacques Cheminade < François Asselineau < Jean Lassalle < Nicolas Dupont-Aignan < Marine Le Pen < François Fillon < Emmanuel Macron < Jean-Luc Mélenchon < Benoît Hamon < Philippe Poutou < Nathalie Arthaud,2734.113166612559,1296,1116,11
Grenoble,France 2017,approval.csv,Voter Deletion,Jacques Cheminade < Jean Lassalle < François Asselineau < Nicolas Dupont-Aignan < Marine Le Pen < François Fillon < Emmanuel Macron < Benoît Hamon < Jean-Luc Mélenchon < Philippe Poutou < Nathalie Arthaud,277.24614442483573,1069,861,11
Grenoble,France 2017,approval.csv,Minimal Flips,Jacques Cheminade < Jean Lassalle < François Asselineau < Nicolas Dupont-Aignan < Marine Le Pen < François Fillon < Emmanuel Macron < Benoît Hamon < Jean-Luc Mélenchon < Philippe Poutou < Nathalie Arthaud,343.3026386018005,1069,861,11
Grenoble,France 2017,approval.csv,Ballot Completion,Jacques Cheminade < François Asselineau < Jean Lassalle < Nicolas Dupont-Aignan < Marine Le Pen < François Fillon < Emmanuel Macron < Benoît Hamon < Jean-Luc Mélenchon < Philippe Poutou < Nathalie Arthaud,713.8810321242596,1069,861,11
Grenoble,France 2017,approval.csv,Minimal Swaps,Jacques Cheminade < François Asselineau < Jean Lassalle < Nicolas Dupont-Aignan < Marine Le Pen < François Fillon < Emmanuel Macron < Benoît Hamon < Jean-Luc Mélenchon < Philippe Poutou < Nathalie Arthaud,789.6479296651565,1069,861,11
Grenoble,France 2017,approval.csv,Forbidden Triples,Jacques Cheminade < François Asselineau < Jean Lassalle < Nicolas Dupont-Aignan < Marine Le Pen < François Fillon < Emmanuel Macron < Benoît Hamon < Jean-Luc Mélenchon < Philippe Poutou < Nathalie Arthaud,1921.205265749345,1069,861,11
HSC,France 2017,approval.csv,Voter Deletion,Jacques Cheminade < François Asselineau < Nathalie Arthaud < Philippe Poutou < Jean-Luc Mélenchon < Benoît Hamon < Emmanuel Macron < François Fillon < Marine Le Pen < Nicolas Dupont-Aignan < Jean Lassalle,207.5549595941797,711,532,11
HSC,France 2017,approval.csv,Minimal Flips,Jacques Cheminade < François Asselineau < Nathalie Arthaud < Philippe Poutou < Jean-Luc Mélenchon < Benoît Hamon < Emmanuel Macron < François Fillon < Marine Le Pen < Nicolas Dupont-Aignan < Jean Lassalle,250.1234798696663,711,532,11
HSC,France 2017,approval.csv,Ballot Completion,François Asselineau < Nathalie Arthaud < Philippe Poutou < Jean-Luc Mélenchon < Benoît Hamon < Emmanuel Macron < François Fillon < Marine Le Pen < Nicolas Dupont-Aignan < Jean Lassalle < Jacques Cheminade,517.180517338546,711,532,11
HSC,France 2017,approval.csv,Minimal Swaps,Jacques Cheminade < François Asselineau < Nathalie Arthaud < Philippe Poutou < Jean-Luc Mélenchon < Benoît Hamon < Emmanuel Macron < François Fillon < Marine Le Pen < Nicolas Dupont-Aignan < Jean Lassalle,570.2412827047642,711,532,11
HSC,France 2017,approval.csv,Forbidden Triples,Jacques Cheminade < François Asselineau < Nathalie Arthaud < Philippe Poutou < Jean-Luc Mélenchon < Benoît Hamon < Emmanuel Macron < François Fillon < Marine Le Pen < Nicolas Dupont-Aignan < Jean Lassalle,1250.538896251426,711,532,11
Online,France 2017,approval.csv,Voter Deletion,Jacques Cheminade < François Asselineau < Marine Le Pen < Nicolas Dupont-Aignan < François Fillon < Emmanuel Macron < Benoît Hamon < Jean-Luc Mélenchon < Philippe Poutou < Nathalie Arthaud < Jean Lassalle,5685.0506224655655,20076,16604,11
Online,France 2017,approval.csv,Minimal Flips,Jacques Cheminade < Jean Lassalle < François Asselineau < Marine Le Pen < Nicolas Dupont-Aignan < François Fillon < Emmanuel Macron < Benoît Hamon < Jean-Luc Mélenchon < Philippe Poutou < Nathalie Arthaud,7459.237107824386,20076,16604,11
Online,France 2017,approval.csv,Ballot Completion,Jacques Cheminade < François Asselineau < Jean Lassalle < Marine Le Pen < Nicolas Dupont-Aignan < François Fillon < Emmanuel Macron < Benoît Hamon < Jean-Luc Mélenchon < Philippe Poutou < Nathalie Arthaud,15503.139006783107,20076,16604,11
Online,France 2017,approval.csv,Minimal Swaps,Jacques Cheminade < François Asselineau < Jean Lassalle < Marine Le Pen < Nicolas Dupont-Aignan < François Fillon < Emmanuel Macron < Benoît Hamon < Jean-Luc Mélenchon < Philippe Poutou < Nathalie Arthaud,17925.44880932092,20076,16604,11
Online,France 2017,approval.csv,Forbidden Triples,Jacques Cheminade < François Asselineau < Marine Le Pen < Nicolas Dupont-Aignan < François Fillon < Jean Lassalle < Emmanuel Macron < Jean-Luc Mélenchon < Benoît Hamon < Philippe Poutou < Nathalie Arthaud,43471.30898854564,20076,16604,11
Strasbourg,France 2017,approval.csv,Voter Deletion,Jacques Cheminade < François Asselineau < Marine Le Pen < Nicolas Dupont-Aignan < François Fillon < Emmanuel Macron < Benoît Hamon < Jean-Luc Mélenchon < Philippe Poutou < Nathalie Arthaud < Jean Lassalle,328.9769589710762,1071,763,11
