dataset,year,file,rule,axis,score,n_voters,active_voters,n_candidates
Crolles,France 2017,approval.csv,Voter Deletion,Jean Lassalle < Jean-Luc Mélenchon < Benoît Hamon < Emmanuel Macron < François Fillon < Marine Le Pen < Nicolas Dupont-Aignan,366.7640158781384,1321,1023,7
Crolles,France 2017,approval.csv,Minimal Flips,Jean Lassalle < Jean-Luc Mélenchon < Benoît Hamon < Emmanuel Macron < François Fillon < Marine Le Pen < Nicolas Dupont-Aignan,418.51251575181357,1321,1023,7
Crolles,France 2017,approval.csv,Ballot Completion,Jean Lassalle < Benoît Hamon < Jean-Luc Mélenchon < Emmanuel Macron < François Fillon < Marine Le Pen < Nicolas Dupont-Aignan,602.4047952436913,1321,1023,7
Crolles,France 2017,approval.csv,Minimal Swaps,Jean Lassalle < Benoît Hamon < Jean-Luc Mélenchon < Emmanuel Macron < François Fillon < Marine Le Pen < Nicolas Dupont-Aignan,623.0877053005592,1321,1023,7
Crolles,France 2017,approval.csv,Forbidden Triples,Jean Lassalle < Benoît Hamon < Jean-Luc Mélenchon < Emmanuel Macron < François Fillon < Nicolas Dupont-Aignan < Marine Le Pen,1111.9538261060475,1321,1023,7
Crolles,France 2017,approval_with_runoff_1.csv,Voter Deletion,Jean Lassalle < Jean-Luc Mélenchon < Benoît Hamon < Emmanuel Macron < François Fillon < Marine Le Pen < Nicolas Dupont-Aignan,396.8411211436333,1296,1078,7
Crolles,France 2017,approval_with_runoff_1.csv,Minimal Flips,Jean Lassalle < Jean-Luc Mélenchon < Benoît Hamon < Emmanuel Macron < François Fillon < Marine Le Pen < Nicolas Dupont-Aignan,440.78829236389015,1296,1078,7
Crolles,France 2017,approval_with_runoff_1.csv,Ballot Completion,Jean Lassalle < Jean-Luc Mélenchon < Benoît Hamon < Emmanuel Macron < François Fillon < Marine Le Pen < Nicolas Dupont-Aignan,724.8411519868889,1296,1078,7
Crolles,France 2017,approval_with_runoff_1.csv,Minimal Swaps,Jean Lassalle < Jean-Luc Mélenchon < Benoît Hamon < Emmanuel Macron < François Fillon < Marine Le Pen < Nicolas Dupont-Aignan,749.9108210943331,1296,1078,7
Crolles,France 2017,approval_with_runoff_1.csv,Forbidden Triples,Jean Lassalle < Benoît Hamon < Jean-Luc Mélenchon < Emmanuel Macron < François Fillon < Marine Le Pen < Nicolas Dupont-Aignan,1347.4047941460303,1296,1078,7
Grenoble,France 2017,approval.csv,Voter Deletion,Jean Lassalle < Jean-Luc Mélenchon < Benoît Hamon < Emmanuel Macron < François Fillon < Marine Le Pen < Nicolas Dupont-Aignan,214.93580767080178,1069,810,7
Grenoble,France 2017,approval.csv,Minimal Flips,Jean-Luc Mélenchon < Benoît Hamon < Emmanuel Macron < François Fillon < Marine Le Pen < Nicolas Dupont-Aignan < Jean Lassalle,245.79293829723977,1069,810,7
Grenoble,France 2017,approval.csv,Ballot Completion,Jean Lassalle < Jean-Luc Mélenchon < Benoît Hamon < Emmanuel Macron < François Fillon < Marine Le Pen < Nicolas Dupont-Aignan,456.4954280318162,1069,810,7
Grenoble,France 2017,approval.csv,Minimal Swaps,Jean Lassalle < Jean-Luc Mélenchon < Benoît Hamon < Emmanuel Macron < François Fillon < Marine Le Pen < Nicolas Dupont-Aignan,509.38444499205394,1069,810,7
Grenoble,France 2017,approval.csv,Forbidden Triples,Jean Lassalle < Jean-Luc Mélenchon < Benoît Hamon < Emmanuel Macron < François Fillon < Marine Le Pen < Nicolas Dupont-Aignan,955.6326763889086,1069,810,7
