dataset,year,file,rule,axis,score,n_voters,active_voters,n_candidates
Crolles,France 2017,approval_with_runoff_1.csv,Voter Deletion,Jean Lassalle < Jean-Luc Mélenchon < Benoît Hamon < Emmanuel Macron < François Fillon < Nicolas Dupont-Aignan < Marine Le Pen,334.0,1296,1078,7
Crolles,France 2017,approval_with_runoff_1.csv,Minimal Flips,Jean Lassalle < Jean-Luc Mélenchon < Benoît Hamon < Emmanuel Macron < François Fillon < Nicolas Dupont-Aignan < Marine Le Pen,376.0,1296,1078,7
Crolles,France 2017,approval_with_runoff_1.csv,Ballot Completion,Jean Lassalle < Jean-Luc Mélenchon < Benoît Hamon < Emmanuel Macron < François Fillon < Nicolas Dupont-Aignan < Marine Le Pen,569.0,1296,1078,7
Crolles,France 2017,approval_with_runoff_1.csv,Minimal Swaps,Jean Lassalle < Jean-Luc Mélenchon < Benoît Hamon < Emmanuel Macron < François Fillon < Nicolas Dupont-Aignan < Marine Le Pen,587.0,1296,1078,7
Crolles,France 2017,approval_with_runoff_1.csv,Forbidden Triples,Jean Lassalle < Jean-Luc Mélenchon < Benoît Hamon < Emmanuel Macron < François Fillon < Nicolas Dupont-Aignan < Marine Le Pen,1050.0,1296,1078,7
Grenoble,France 2017,approval.csv,Voter Deletion,Jean Lassalle < Jean-Luc Mélenchon < Benoît Hamon < Emmanuel Macron < François Fillon < Nicolas Dupont-Aignan < Marine Le Pen,140.0,1069,810,7
Grenoble,France 2017,approval.csv,Minimal Flips,Jean Lassalle < Jean-Luc Mélenchon < Benoît Hamon < Emmanuel Macron < François Fillon < Nicolas Dupont-Aignan < Marine Le Pen,152.0,1069,810,7
Grenoble,France 2017,approval.csv,Ballot Completion,Jean Lassalle < Jean-Luc Mélenchon < Benoît Hamon < Emmanuel Macron < François Fillon < Nicolas Dupont-Aignan < Marine Le Pen,234.0,1069,810,7
Grenoble,France 2017,approval.csv,Minimal Swaps,Jean Lassalle < Jean-Luc Mélenchon < Benoît Hamon < Emmanuel Macron < François Fillon < Nicolas Dupont-Aignan < Marine Le Pen,247.0,1069,810,7
Grenoble,France 2017,approval.csv,Forbidden Triples,Jean Lassalle < Jean-Luc Mélenchon < Benoît Hamon < Emmanuel Macron < François Fillon < Nicolas Dupont-Aignan < Marine Le Pen,426.0,1069,810,7
HSC,France 2017,approval.csv,Voter Deletion,Jean Lassalle < Jean-Luc Mélenchon < Benoît Hamon < Emmanuel Macron < François Fillon < Nicolas Dupont-Aignan < Marine Le Pen,125.0,711,480,7
