VD,MF,BC,MS,FT,VD_rank,FT_rank
0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,2.0,2.0,2.0,0.5,10.0,1.0
1.0,1.0,0.5,0.5,0.0,9.25,0.0
2.0,2.0,2.0,2.0,2.0,8.0,1.0
0.0,0.0,0.0,0.0,0.0,8.0,0.0
6.125,6.4,2.0,3.5,5.0,10.0,2.0
0.0,1.0,1.0,1.0,1.0,7.0,1.0
2.0,2.0,1.5,1.0,1.0,9.0,0.0
0.0,0.0,0.0,0.0,0.0,7.5,0.0
5.666666666666667,2.0,2.5,2.5,2.0,10.0,1.0
0.0,0.0,0.0,0.0,0.0,9.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,1.0
1.0,1.0,0.5,0.5,0.0,9.0,0.0
0.5,1.0,1.0,0.5,0.0,0.0,0.0
1.0,1.0,0.0,0.0,0.0,7.5,1.0
0.0,0.0,0.0,0.0,0.0,8.0,0.0
1.0,1.0,1.0,1.0,1.0,0.5,0.0
1.0,1.5,1.5,2.0,2.0,7.428571428571429,2.0
0.0,0.0,0.0,0.0,0.0,9.5,1.0
1.5,2.0,1.5,1.5,1.0,9.0,0.0
1.5,1.5,1.0,1.0,1.0,4.666666666666667,0.0
0.0,0.0,0.0,0.0,0.0,10.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,1.0
1.0,1.0,1.0,0.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,7.5,0.0
0.5,0.5,0.0,0.0,0.0,9.0,1.0
1.5,1.0,1.0,1.0,0.0,8.5,1.0
1.0,1.0,1.0,0.0,1.0,7.0,0.0
1.5,1.5,0.0,0.0,1.0,9.0,1.0
0.5,0.5,0.0,0.0,0.0,5.0,0.0
0.0,0.0,0.0,0.0,0.0,9.0,0.0
0.0,0.0,0.0,0.0,0.0,10.0,0.0
0.0,0.0,0.0,0.0,0.0,9.0,0.0
0.5,0.5,0.0,0.0,0.0,8.0,0.5
0.5,1.0,0.5,1.0,1.0,0.0,0.0
0.0,0.0,0.0,0.5,0.0,10.0,0.0
1.0,1.0,1.0,1.0,1.0,9.0,0.0
1.0,1.0,1.0,0.0,0.0,1.0,1.0
0.5,0.5,0.5,0.5,0.5,8.0,0.5
0.0,0.0,0.0,0.0,0.0,9.0,0.0
1.5,1.5,1.5,1.5,2.0,7.0,2.0
1.0,1.5,1.0,1.0,1.0,10.0,0.0
0.0,0.0,0.0,0.0,0.0,0.5,0.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,7.5,0.0
1.0,1.0,1.0,0.0,1.0,9.0,9.0
0.0,0.0,0.0,0.0,0.0,9.0,0.0
1.0,1.0,1.0,1.0,1.0,6.0,1.0
2.3333333333333335,3.0,0.5,0.5,1.0,10.0,2.0
1.5,1.0,1.0,1.0,1.0,5.5,1.0
0.0,0.0,0.0,0.0,0.0,9.0,0.0
2.0,2.3333333333333335,2.0,1.5,2.0,6.3,0.0
1.0,1.0,1.0,1.0,1.0,9.0,0.0
1.0,0.0,0.0,0.0,0.0,8.0,0.0
7.5,2.5,5.5,4.5,2.0,2.0,1.0
1.0,1.5,1.0,1.0,1.0,2.0,0.0
2.0,1.5,1.0,1.0,1.0,6.0,1.0
1.5,1.5,2.0,2.0,2.0,9.0,6.0
1.0,1.0,1.0,1.0,0.5,1.0,1.0
1.5,1.5,1.0,1.0,1.5,7.0,0.0
0.0,0.0,1.5,1.0,1.0,7.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,5.8,0.0
1.0,1.0,1.0,1.0,1.0,9.0,0.0
0.0,0.0,0.0,0.0,0.0,9.0,0.0
0.0,0.0,0.0,0.0,0.0,5.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,0.5,0.0,8.2,1.0
0.0,0.0,1.0,0.5,0.0,10.0,1.0
1.0,1.0,1.0,1.0,1.0,10.0,0.0
0.0,0.0,0.0,0.0,0.0,8.5,2.0
0.0,0.0,0.0,0.5,0.0,7.5,0.0
0.0,0.0,0.0,0.0,0.0,10.0,0.0
0.0,0.0,0.0,0.0,0.0,5.666666666666667,0.0
1.0,1.0,1.0,1.0,0.5,0.5,0.0
1.0,1.0,1.0,1.0,1.0,10.0,0.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0,4.0,0.0
2.0,1.0,1.5,1.5,1.0,9.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.5,0.0,8.0,0.0
0.0,0.0,0.0,0.0,0.0,10.0,0.0
0.0,0.0,0.0,0.0,0.0,7.5,0.0
1.0,0.5,1.0,1.0,1.0,7.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1.5,1.0,1.0,2.0,10.0,1.0
1.0,1.0,1.0,1.0,1.0,5.0,1.5
0.5,0.5,0.5,0.5,1.0,9.0,0.0
1.0,0.5,0.0,0.0,0.0,8.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.0,0.0,0.0,9.0,0.0
1.0,1.0,1.0,2.0,1.0,2.0,2.0
0.0,0.0,0.0,0.0,0.0,9.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0
1.0,0.5,1.0,0.5,1.0,1.0,0.0
1.0,1.0,1.0,1.0,1.0,10.0,1.0
0.0,0.5,0.5,0.5,0.0,7.5,0.0
1.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.5,0.0,0.0
1.0,2.0,2.0,2.0,2.0,5.0,0.5
3.0,2.0,1.5,1.5,2.0,7.5,1.0
0.0,0.0,0.0,0.0,0.0,5.333333333333333,0.5
1.0,1.0,0.0,0.0,0.0,9.0,0.0
1.0,1.0,1.0,1.0,1.0,0.0,0.0
0.6666666666666666,1.0,0.0,0.0,0.0,7.5,0.0
1.5,1.0,1.0,1.0,1.0,7.0,1.0
