VD,MF,BC,MS,FT,VD_rank,FT_rank
3.0,8.4,4.0,9.0,9.0,7.0,1.0
7.0,8.0,8.0,9.5,8.0,8.666666666666666,7.0
4.0,4.666666666666667,5.5,3.0,4.0,9.0,3.0
6.0,7.5,8.5,8.5,8.5,4.0,4.0
6.666666666666667,9.0,7.0,10.0,10.0,8.0,7.0
6.0,5.0,9.0,9.0,9.0,7.0,4.0
9.0,2.5,3.0,2.0,3.0,9.6,2.0
3.0,3.0,3.0,3.0,3.0,10.0,3.0
3.4,3.6666666666666665,3.0,3.0,3.0,7.0,1.0
5.0,3.0,2.5,2.5,2.5,10.0,9.0
5.0,4.0,3.5,3.0,5.5,6.5,4.0
3.0,8.333333333333334,8.0,7.0,6.0,7.0,6.0
4.5,1.0,2.0,2.0,1.0,8.0,8.0
7.0,7.0,7.0,7.0,8.0,10.0,3.0
6.0,6.0,7.0,7.0,7.0,6.333333333333333,7.0
6.0,0.0,6.0,7.0,1.0,10.0,9.0
7.0,5.333333333333333,5.0,5.0,5.0,8.666666666666666,2.0
9.0,10.0,4.5,7.0,8.0,9.0,1.0
4.333333333333333,3.8,5.0,6.0,4.0,2.0,1.0
9.0,8.0,8.0,2.0,8.0,7.0,5.0
3.6666666666666665,5.0,3.5,7.0,6.0,7.0,1.0
3.0,1.0,0.0,0.5,0.0,7.75,0.0
2.0,3.875,1.0,2.0,6.0,7.0,0.0
9.0,3.0,8.0,8.0,2.0,8.0,2.0
3.0,3.0,4.0,3.0,2.5,9.0,2.0
8.0,7.0,8.0,7.5,8.75,9.0,5.0
3.0,2.0,1.5,1.0,2.0,6.0,2.0
4.0,6.0,6.0,6.0,0.0,10.0,1.0
8.5,6.666666666666667,8.0,8.0,8.0,7.5,8.0
7.0,10.0,4.0,2.5,6.0,6.0,1.0
3.0,2.0,0.5,0.5,2.0,7.2,0.0
5.0,8.5,2.5,4.0,8.5,7.5,8.0
9.0,9.0,1.0,1.5,6.333333333333333,5.0,2.0
1.75,1.0,1.0,0.5,0.0,7.5,1.0
9.25,8.666666666666666,7.0,7.5,7.0,6.0,4.0
9.0,10.0,8.0,8.5,9.5,6.0,7.5
5.6,3.0,2.5,2.0,3.0,9.0,2.0
4.5,4.0,3.0,3.0,2.0,7.714285714285714,2.0
3.0,6.0,2.0,2.0,2.0,8.5,2.0
5.0,5.0,7.0,7.0,8.5,8.0,1.0
4.6,5.0,2.0,2.0,2.0,7.0,1.5
7.0,6.0,6.333333333333333,2.0,3.0,8.0,6.0
7.0,6.333333333333333,7.0,6.0,6.0,8.0,9.0
5.333333333333333,1.0,1.0,0.5,1.0,3.0,0.0
8.5,8.0,8.0,8.0,8.0,9.0,2.5
7.0,3.0,7.0,8.0,4.0,10.0,7.0
6.5,6.0,6.5,5.5,7.0,7.0,3.5
7.5,8.0,8.0,5.5,9.0,5.0,3.0
9.0,4.0,1.0,1.0,1.0,7.2,2.0
5.0,4.0,4.0,4.0,4.0,7.666666666666667,3.0
7.0,7.0,6.5,7.0,7.0,7.5,3.0
4.0,3.0,2.6666666666666665,3.0,4.0,6.0,2.0
6.5,7.0,10.0,9.5,7.0,10.0,10.0
7.0,9.0,8.0,8.0,7.5,9.0,7.0
8.0,9.0,6.5,6.5,7.0,8.0,1.0
7.0,8.0,10.0,10.0,7.5,9.0,8.5
1.0,0.0,0.0,0.0,0.0,7.0,0.0
3.0,5.0,1.0,3.0,1.0,7.125,3.0
3.5,2.0,6.0,5.0,1.0,9.0,5.0
5.0,5.0,6.0,6.0,5.5,7.0,8.5
5.5,5.8,5.0,5.5,5.0,6.5,1.0
5.8,3.5,5.0,5.0,4.0,5.0,8.0
7.0,8.5,7.0,8.5,9.0,9.0,3.0
3.75,3.0,2.0,2.0,3.0,8.0,1.0
7.5,7.25,6.0,6.0,5.0,6.666666666666667,10.0
7.5,7.0,3.0,4.5,8.0,6.0,6.0
5.0,5.0,9.0,9.5,3.0,6.333333333333333,0.0
3.0,2.5,2.0,2.0,2.0,7.0,3.0
6.8,10.0,10.0,10.0,10.0,9.0,7.0
3.5,3.0,5.5,3.0,4.0,8.0,3.0
7.0,7.25,8.0,8.0,6.5,9.0,9.0
3.0,2.5,3.0,3.0,3.0,7.0,2.0
5.0,9.0,1.5,2.0,4.0,8.0,0.0
4.0,3.0,1.5,1.0,3.0,1.0,7.0
10.0,8.166666666666666,8.0,8.0,8.5,6.0,6.0
7.5,8.0,7.0,2.0,4.333333333333333,6.5,4.0
6.5,9.5,3.0,3.0,9.0,7.111111111111111,1.0
5.6,4.0,4.0,4.0,4.5,2.0,5.0
10.0,8.5,8.5,8.5,8.0,8.0,5.0
3.0,3.0,1.0,0.5,1.0,7.833333333333333,2.0
8.0,8.5,7.5,7.5,8.0,5.5,6.0
6.0,7.0,6.0,7.0,7.0,8.25,2.0
6.0,6.0,5.25,5.0,6.0,4.0,3.0
6.666666666666667,7.5,3.5,2.5,4.0,9.5,9.333333333333334
6.8,10.0,8.0,8.0,9.5,9.5,7.0
6.142857142857143,6.8,3.0,3.5,3.5,7.0,3.0
8.0,6.0,4.0,4.5,4.5,7.571428571428571,3.0
6.666666666666667,6.0,7.5,6.333333333333333,3.0,6.0,4.0
