VD,MF,BC,MS,FT,VD_rank,FT_rank
1.0,1.0,2.0,2.0,2.0,8.0,1.0
1.0,0.5,1.0,1.0,0.0,8.0,1.0
1.0,1.0,1.0,1.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,10.0,0.0
2.5,2.0,0.0,0.0,1.0,7.5,0.0
0.0,0.0,0.0,0.0,0.0,8.0,0.0
0.0,0.0,0.0,0.0,0.0,9.0,0.0
4.0,3.5,2.5,4.0,4.0,10.0,3.0
0.0,2.0,1.5,0.5,0.5,10.0,0.0
0.0,0.0,0.0,1.0,1.0,8.0,2.0
3.0,3.0,2.0,1.0,2.0,10.0,3.0
0.0,0.0,0.0,0.0,0.0,9.0,0.0
1.0,0.5,1.0,0.5,0.0,9.5,2.0
1.6,1.0,0.0,1.0,1.0,7.5,1.0
0.0,0.0,0.0,1.0,0.5,10.0,0.0
0.0,0.0,2.0,2.0,1.0,9.0,3.0
0.0,0.0,0.5,0.5,0.0,8.0,0.0
1.0,1.0,1.0,1.0,1.0,7.0,1.0
0.0,0.0,0.0,0.0,0.0,9.0,0.0
0.0,0.0,0.0,0.0,0.0,10.0,0.0
1.25,0.5,1.0,0.0,0.5,6.0,1.0
1.0,3.0,2.0,2.0,2.0,8.0,2.0
0.5,1.0,0.0,0.0,1.0,10.0,1.0
10.0,3.5,10.0,3.0,3.5,10.0,9.0
1.0,1.5,2.0,2.0,2.0,8.25,0.0
1.5,0.0,0.0,1.0,0.0,1.0,1.0
3.0,2.0,2.0,1.0,2.0,9.0,1.0
3.0,3.3333333333333335,1.0,1.0,1.0,7.5,1.0
0.0,1.0,0.5,1.0,0.0,9.0,1.0
4.666666666666667,3.0,7.0,7.0,3.0,9.0,8.0
4.0,3.0,3.0,2.0,1.0,7.0,0.0
1.0,1.0,1.0,1.0,1.0,8.0,1.0
1.0,1.0,1.0,1.0,1.0,6.0,1.0
1.0,1.0,1.0,0.0,1.0,8.0,0.0
0.5,1.0,1.0,1.0,1.0,8.0,1.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0
4.5,1.0,2.0,1.5,1.0,9.0,2.0
2.0,0.6666666666666666,0.5,0.0,0.0,9.0,0.5
1.0,1.2,1.0,2.0,1.0,6.0,1.0
1.0,1.0,0.0,0.0,0.0,10.0,0.0
5.0,3.75,2.0,2.0,2.0,7.666666666666667,1.5
1.0,0.0,0.0,0.0,0.0,9.0,4.0
0.0,1.0,0.0,0.0,1.0,2.0,1.0
1.0,0.5,0.0,0.5,0.0,8.0,0.0
0.5,1.0,0.5,0.5,1.0,1.0,1.0
4.0,3.5,3.0,3.0,3.0,7.0,2.0
2.5,1.6666666666666667,1.3333333333333333,1.0,4.0,1.0,1.0
2.5,4.0,2.0,2.0,3.0,3.0,2.0
1.3333333333333333,0.5,0.0,0.0,1.0,9.666666666666666,0.0
0.0,0.0,0.0,0.0,0.0,9.0,1.0
2.5,2.0,2.5,3.0,3.0,7.0,1.0
3.0,2.5,2.0,1.0,1.0,10.0,0.0
1.6666666666666667,0.0,1.0,0.0,0.0,9.0,0.0
0.5,0.5,0.0,0.0,0.0,7.5,0.5
2.0,2.0,1.0,1.0,1.0,6.0,0.0
1.5,1.0,1.0,1.0,1.0,4.0,1.0
1.0,1.0,0.0,0.0,0.0,8.0,1.0
0.0,0.0,0.0,0.0,0.0,9.0,0.0
2.0,2.0,2.0,2.5,2.3333333333333335,4.5,6.0
2.5,2.0,2.0,2.0,2.0,8.666666666666666,2.0
2.5,3.0,1.5,2.0,2.0,6.0,1.0
2.0,1.0,1.0,1.0,1.0,10.0,1.0
5.0,4.5,4.5,4.0,3.0,5.545454545454546,3.0
8.0,6.333333333333333,8.0,7.5,6.0,8.0,5.0
4.0,4.0,3.5,4.5,4.0,8.666666666666666,2.0
2.0,2.0,1.0,0.5,0.0,7.0,0.0
1.0,1.0,1.0,0.5,1.0,10.0,0.0
4.0,4.0,4.0,4.0,4.0,8.0,5.0
1.5,1.0,1.0,1.0,1.0,9.0,1.0
1.0,0.0,0.0,0.0,0.0,9.0,2.0
3.3333333333333335,2.3333333333333335,1.5,1.5,1.5,10.0,6.0
2.0,2.0,2.0,1.0,1.0,6.0,1.0
1.0,1.0,1.0,1.0,1.0,8.0,1.0
1.0,1.0,0.0,0.0,0.0,7.5,0.0
3.0,3.0,1.5,2.0,1.5,8.0,2.0
0.0,2.0,2.0,2.0,2.0,9.5,1.0
1.0,0.0,0.0,1.5,0.0,3.0,1.0
0.0,0.0,0.5,1.0,0.0,6.0,1.0
1.5,0.0,1.0,1.0,1.0,9.0,0.0
1.5,0.5,2.0,1.5,1.5,9.0,1.0
9.666666666666666,6.666666666666667,9.0,2.0,1.0,8.0,9.0
1.5,0.0,0.0,0.0,0.0,5.0,0.0
0.0,0.0,0.0,0.0,0.0,9.0,1.0
5.0,2.0,2.0,2.0,1.0,10.0,0.5
2.0,2.0,1.0,1.0,1.0,10.0,1.5
3.0,3.0,2.0,2.0,1.0,10.0,2.0
0.0,0.0,0.0,0.0,0.0,10.0,0.0
0.0,1.0,1.0,1.0,1.0,9.666666666666666,0.5
6.0,3.0,0.0,0.0,0.0,9.5,1.0
0.0,0.0,1.0,1.0,1.0,8.5,1.0
1.0,0.5,1.0,1.0,1.0,9.0,0.5
0.0,0.0,0.0,0.0,0.0,7.0,0.0
1.0,0.0,0.0,1.0,0.0,6.0,2.0
5.2,4.0,7.0,1.0,1.0,10.0,7.0
0.0,0.0,0.0,0.0,0.0,7.666666666666667,0.0
4.6,4.0,3.0,2.0,3.0,10.0,3.0
1.5,0.0,1.0,1.0,1.0,6.0,0.0
2.0,2.0,2.0,2.0,2.0,10.0,2.0
4.0,2.5,4.5,4.0,4.0,8.0,0.5
1.5,1.0,0.5,0.5,1.0,9.0,1.0
2.0,1.0,1.5,1.5,1.0,10.0,1.0
0.0,0.0,0.0,0.0,0.0,2.0,0.0
0.0,0.5,0.5,0.5,0.0,8.5,0.0
2.0,1.0,1.0,1.0,1.0,8.0,2.0
1.0,0.0,0.0,1.0,1.0,9.0,0.0
1.0,1.0,1.0,1.0,1.0,10.0,0.0
5.0,3.5,3.0,3.0,4.0,8.5,3.0
1.0,1.0,1.0,1.0,1.0,8.0,2.0
2.0,2.0,2.0,2.0,2.0,10.0,2.0
2.0,2.0,2.0,2.0,2.0,10.0,10.0
0.5,1.0,1.0,1.0,1.0,8.0,0.0
2.0,1.5,1.5,1.0,1.0,9.0,2.0
1.0,1.0,1.0,1.0,1.0,6.0,1.0
1.0,1.5,0.0,0.0,0.0,7.0,0.0
1.0,0.0,2.0,2.0,2.0,7.5,9.0
1.5,2.0,2.0,2.0,2.0,6.0,1.0
0.0,0.0,0.0,0.0,0.0,9.5,0.0
2.5,1.5,1.0,1.0,1.0,8.333333333333334,1.0
1.0,0.0,0.0,0.0,0.0,7.5,0.5
0.0,0.0,0.0,0.0,0.0,10.0,0.0
1.0,1.0,1.0,1.0,1.0,6.0,0.0
4.0,2.0,2.0,1.5,2.0,10.0,0.0
1.0,1.0,2.0,1.0,0.0,10.0,1.0
1.0,1.0,1.0,1.0,1.0,9.0,0.5
1.0,0.0,0.0,0.0,0.5,6.0,0.0
0.0,0.0,0.0,0.0,0.0,8.5,0.0
1.0,3.0,2.0,2.0,2.0,7.0,1.5
2.0,2.0,2.0,2.0,2.0,9.0,2.0
1.0,0.5,1.0,1.0,1.0,9.0,1.0
1.0,1.0,1.0,1.0,1.0,9.0,1.0
1.5,1.5,1.0,1.0,1.0,8.0,1.0
2.0,3.0,1.0,1.5,1.5,7.0,3.0
0.0,1.0,0.0,0.0,0.0,9.5,0.0
1.0,1.0,1.0,1.0,1.0,9.0,1.0
1.0,0.0,0.5,1.5,1.0,6.0,5.0
1.5,1.0,1.0,1.0,1.0,9.0,1.0
3.0,1.8333333333333333,1.0,0.0,1.0,9.666666666666666,1.0
1.0,2.0,2.0,1.5,2.0,9.0,3.0
1.0,2.0,1.5,1.3333333333333333,1.5,7.0,5.0
1.0,1.0,1.0,1.0,1.0,9.0,1.0
