dataset,year,file,rule,axis,score,n_voters,active_voters,n_candidates
Gy-Les-Nonains,France 2002,approval.csv,Voter Deletion,Jean-Pierre Chevènement < François Bayrou < Jacques Chirac < Jean-Marie Le Pen < Arlette Laguiller < Olivier Besancenot < Noël Mamère < Lionel Jospin,111.0,365,245,8
Gy-Les-Nonains,France 2002,approval.csv,Minimal Flips,Jean-Pierre Chevènement < François Bayrou < Jacques Chirac < Jean-Marie Le Pen < Arlette Laguiller < Olivier Besancenot < Noël Mamère < Lionel Jospin,125.0,365,245,8
Gy-Les-Nonains,France 2002,approval.csv,Ballot Completion,Jean-Pierre Chevènement < François Bayrou < Jacques Chirac < Jean-Marie Le Pen < Arlette Laguiller < Lionel Jospin < Noël Mamère < Olivier Besancenot,238.0,365,245,8
Gy-Les-Nonains,France 2002,approval.csv,Minimal Swaps,Jean-Pierre Chevènement < François Bayrou < Jacques Chirac < Jean-Marie Le Pen < Arlette Laguiller < Lionel Jospin < Noël Mamère < Olivier Besancenot,255.0,365,245,8
Gy-Les-Nonains,France 2002,approval.csv,Forbidden Triples,Jean-Marie Le Pen < Jacques Chirac < François Bayrou < Jean-Pierre Chevènement < Arlette Laguiller < Lionel Jospin < Noël Mamère < Olivier Besancenot,478.0,365,245,8
IEP Paris,France 2002,approval.csv,Voter Deletion,Jean-Marie Le Pen < Jean-Pierre Chevènement < Jacques Chirac < François Bayrou < Lionel Jospin < Noël Mamère < Arlette Laguiller < Olivier Besancenot,112.0,408,281,8
IEP Paris,France 2002,approval.csv,Minimal Flips,Jean-Marie Le Pen < François Bayrou < Jacques Chirac < Jean-Pierre Chevènement < Lionel Jospin < Noël Mamère < Arlette Laguiller < Olivier Besancenot,119.0,408,281,8
IEP Paris,France 2002,approval.csv,Ballot Completion,Jean-Marie Le Pen < François Bayrou < Jacques Chirac < Jean-Pierre Chevènement < Lionel Jospin < Noël Mamère < Arlette Laguiller < Olivier Besancenot,152.0,408,281,8
IEP Paris,France 2002,approval.csv,Minimal Swaps,Jean-Marie Le Pen < François Bayrou < Jacques Chirac < Jean-Pierre Chevènement < Lionel Jospin < Noël Mamère < Arlette Laguiller < Olivier Besancenot,157.0,408,281,8
IEP Paris,France 2002,approval.csv,Forbidden Triples,Jean-Marie Le Pen < Jacques Chirac < François Bayrou < Jean-Pierre Chevènement < Lionel Jospin < Noël Mamère < Arlette Laguiller < Olivier Besancenot,278.0,408,281,8
Orsay,France 2002,approval.csv,Voter Deletion,Arlette Laguiller < Olivier Besancenot < Noël Mamère < Lionel Jospin < Jean-Pierre Chevènement < François Bayrou < Jacques Chirac < Jean-Marie Le Pen,705.0,2220,1684,8
Orsay,France 2002,approval.csv,Minimal Flips,Arlette Laguiller < Olivier Besancenot < Noël Mamère < Lionel Jospin < Jean-Pierre Chevènement < François Bayrou < Jacques Chirac < Jean-Marie Le Pen,778.0,2220,1684,8
Orsay,France 2002,approval.csv,Ballot Completion,Arlette Laguiller < Olivier Besancenot < Noël Mamère < Lionel Jospin < Jean-Pierre Chevènement < François Bayrou < Jacques Chirac < Jean-Marie Le Pen,1214.0,2220,1684,8
Orsay,France 2002,approval.csv,Minimal Swaps,Arlette Laguiller < Olivier Besancenot < Noël Mamère < Lionel Jospin < Jean-Pierre Chevènement < François Bayrou < Jacques Chirac < Jean-Marie Le Pen,1272.0,2220,1684,8
Orsay,France 2002,approval.csv,Forbidden Triples,Arlette Laguiller < Olivier Besancenot < Noël Mamère < Lionel Jospin < Jean-Pierre Chevènement < François Bayrou < Jacques Chirac < Jean-Marie Le Pen,2205.0,2220,1684,8
In Situ,France 2007,approval.csv,Voter Deletion,Philippe de Villiers < Jean-Marie Le Pen < Nicolas Sarkozy < François Bayrou < Ségolène Royal < Olivier Besancenot < Dominique Voynet < Marie-George Buffet,738.0,2836,1837,8
In Situ,France 2007,approval.csv,Minimal Flips,Philippe de Villiers < Jean-Marie Le Pen < Nicolas Sarkozy < François Bayrou < Ségolène Royal < Olivier Besancenot < Dominique Voynet < Marie-George Buffet,787.0,2836,1837,8
In Situ,France 2007,approval.csv,Ballot Completion,Philippe de Villiers < Jean-Marie Le Pen < Nicolas Sarkozy < François Bayrou < Ségolène Royal < Olivier Besancenot < Dominique Voynet < Marie-George Buffet,1079.0,2836,1837,8
In Situ,France 2007,approval.csv,Minimal Swaps,Philippe de Villiers < Jean-Marie Le Pen < Nicolas Sarkozy < François Bayrou < Ségolène Royal < Olivier Besancenot < Dominique Voynet < Marie-George Buffet,1108.0,2836,1837,8
In Situ,France 2007,approval.csv,Forbidden Triples,Philippe de Villiers < Jean-Marie Le Pen < Nicolas Sarkozy < François Bayrou < Ségolène Royal < Olivier Besancenot < Dominique Voynet < Marie-George Buffet,1822.0,2836,1837,8
Crolles,France 2017,approval.csv,Voter Deletion,Jean Lassalle < Philippe Poutou < Jean-Luc Mélenchon < Benoît Hamon < Emmanuel Macron < François Fillon < Nicolas Dupont-Aignan < Marine Le Pen,380.0,1321,1052,8
Crolles,France 2017,approval.csv,Minimal Flips,Jean Lassalle < Philippe Poutou < Jean-Luc Mélenchon < Benoît Hamon < Emmanuel Macron < François Fillon < Nicolas Dupont-Aignan < Marine Le Pen,445.0,1321,1052,8
Crolles,France 2017,approval.csv,Ballot Completion,Jean Lassalle < Philippe Poutou < Jean-Luc Mélenchon < Benoît Hamon < Emmanuel Macron < François Fillon < Nicolas Dupont-Aignan < Marine Le Pen,647.0,1321,1052,8
Crolles,France 2017,approval.csv,Minimal Swaps,Jean Lassalle < Philippe Poutou < Jean-Luc Mélenchon < Benoît Hamon < Emmanuel Macron < François Fillon < Nicolas Dupont-Aignan < Marine Le Pen,688.0,1321,1052,8
Crolles,France 2017,approval.csv,Forbidden Triples,Jean Lassalle < Philippe Poutou < Jean-Luc Mélenchon < Benoît Hamon < Emmanuel Macron < François Fillon < Nicolas Dupont-Aignan < Marine Le Pen,1347.0,1321,1052,8
Crolles,France 2017,approval_with_runoff_1.csv,Voter Deletion,Jean Lassalle < Philippe Poutou < Jean-Luc Mélenchon < Benoît Hamon < Emmanuel Macron < François Fillon < Nicolas Dupont-Aignan < Marine Le Pen,371.0,1296,1102,8
Crolles,France 2017,approval_with_runoff_1.csv,Minimal Flips,Philippe Poutou < Jean-Luc Mélenchon < Benoît Hamon < Emmanuel Macron < François Fillon < Nicolas Dupont-Aignan < Marine Le Pen < Jean Lassalle,433.0,1296,1102,8
Crolles,France 2017,approval_with_runoff_1.csv,Ballot Completion,Jean Lassalle < Philippe Poutou < Jean-Luc Mélenchon < Benoît Hamon < Emmanuel Macron < François Fillon < Nicolas Dupont-Aignan < Marine Le Pen,682.0,1296,1102,8
Crolles,France 2017,approval_with_runoff_1.csv,Minimal Swaps,Jean Lassalle < Philippe Poutou < Jean-Luc Mélenchon < Benoît Hamon < Emmanuel Macron < François Fillon < Nicolas Dupont-Aignan < Marine Le Pen,707.0,1296,1102,8
Crolles,France 2017,approval_with_runoff_1.csv,Forbidden Triples,Jean Lassalle < Philippe Poutou < Jean-Luc Mélenchon < Benoît Hamon < Emmanuel Macron < François Fillon < Nicolas Dupont-Aignan < Marine Le Pen,1369.0,1296,1102,8
