VD,MF,BC,MS,FT,VD_rank,FT_rank
6.5,9.0,4.0,4.0,3.0,5.0,3.0
9.0,7.333333333333333,6.0,6.0,5.0,8.0,5.0
6.0,8.0,8.0,4.0,5.666666666666667,10.0,2.0
8.0,1.0,8.5,7.0,7.0,1.0,0.0
4.0,7.0,8.5,5.0,4.0,4.0,10.0
1.0,1.0,1.0,1.5,2.0,7.111111111111111,1.0
10.0,6.2,10.0,9.0,9.0,6.0,2.0
1.0,0.5,0.0,0.5,0.0,10.0,8.0
8.0,2.0,2.0,0.0,0.0,7.0,1.0
5.5,6.0,4.0,7.5,6.5,6.5,6.0
10.0,5.0,1.5,5.0,2.0,9.0,3.5
9.5,9.5,9.5,5.0,6.0,6.0,10.0
7.0,2.0,5.0,5.0,2.0,7.666666666666667,5.5
10.0,2.0,2.0,2.0,1.0,8.375,1.0
3.0,5.0,10.0,3.5,3.0,7.0,9.0
3.5,3.0,3.0,2.0,3.0,8.5,5.0
10.0,6.0,9.0,8.0,2.0,7.333333333333333,8.0
6.333333333333333,9.5,5.2,9.5,10.0,9.0,9.5
6.0,8.5,8.5,10.0,4.5,7.0,7.0
1.0,2.0,1.0,0.5,1.0,8.0,1.0
3.0,6.25,10.0,6.0,7.0,9.0,7.0
4.0,3.0,4.5,3.0,3.0,7.0,8.0
8.0,9.5,9.0,6.0,6.0,10.0,10.0
4.0,5.0,1.5,2.0,2.0,7.0,3.0
5.777777777777778,9.0,8.0,4.0,4.0,8.0,9.0
0.0,0.0,0.0,1.0,0.0,7.5,1.0
2.5,2.0,1.5,1.0,1.0,8.0,2.0
2.5,1.0,2.0,2.5,1.0,9.0,0.0
2.0,2.0,1.5,1.0,1.0,10.0,1.0
5.0,2.0,2.5,1.5,1.0,7.0,1.0
6.0,6.0,6.0,6.0,6.0,8.0,6.5
10.0,0.5,1.5,1.0,1.5,9.4,3.0
5.333333333333333,1.5,8.0,2.0,2.0,7.4,3.0
10.0,2.0,2.0,1.0,0.0,6.166666666666667,3.0
8.666666666666666,7.0,5.0,2.0,1.0,7.2,8.0
7.5,8.0,9.5,8.0,8.0,7.5,2.0
3.0,4.0,3.5,4.0,4.0,3.0,5.0
10.0,2.0,3.0,4.0,2.0,9.0,3.0
3.5,4.5,4.0,3.0,3.0,9.5,3.0
0.0,3.0,3.5,3.0,2.0,6.0,7.666666666666667
7.0,7.0,7.0,7.0,6.0,8.6,8.0
2.0,2.0,2.0,2.0,2.0,7.0,1.5
3.0,3.5,9.5,9.0,1.0,7.0,9.0
2.0,0.0,5.0,3.0,2.5,7.0,2.5
6.0,10.0,2.0,9.0,4.0,7.4,3.0
6.5,5.0,5.5,5.0,5.0,7.75,4.0
8.5,9.666666666666666,9.0,10.0,10.0,8.0,8.666666666666666
9.0,4.666666666666667,8.0,7.5,6.0,10.0,7.0
0.0,3.0,2.0,3.0,3.0,6.0,3.0
6.0,7.0,8.0,5.0,5.0,9.0,4.5
4.0,5.0,4.5,4.5,5.0,6.0,4.0
8.0,2.0,3.5,2.5,2.0,7.0,3.0
6.0,4.5,3.3333333333333335,6.0,6.0,7.5,3.0
10.0,9.5,10.0,9.0,10.0,7.0,9.0
2.5,2.0,1.0,1.5,1.5,4.75,3.0
3.5,2.0,0.0,1.0,1.5,6.9,2.0
1.0,1.0,1.0,0.0,1.5,6.0,0.0
4.0,5.0,3.5,4.0,4.0,8.5,3.5
2.0,1.0,2.0,1.5,1.5,8.5,1.0
4.5,1.0,4.0,2.0,1.0,8.0,3.0
