dataset,year,file,rule,axis,score,n_voters,active_voters,n_candidates
Gy-Les-Nonains,France 2002,approval.csv,Voter Deletion,Jean-Pierre Chevènement < François Bayrou < Alain Madelin < Jacques Chirac < Jean Saint-Josse < Jean-Marie Le Pen < Arlette Laguiller < Robert Hue < Lionel Jospin < Noël Mamère < Olivier Besancenot,179.0,365,292,11
Gy-Les-Nonains,France 2002,approval.csv,Minimal Flips,Jean Saint-Josse < Jean-Marie Le Pen < Jacques Chirac < Alain Madelin < François Bayrou < Jean-Pierre Chevènement < Arlette Laguiller < Olivier Besancenot < Noël Mamère < Lionel Jospin < Robert Hue,226.0,365,292,11
Gy-Les-Nonains,France 2002,approval.csv,Ballot Completion,Alain Madelin < François Bayrou < Jacques Chirac < Jean-Marie Le Pen < Jean-Pierre Chevènement < Jean Saint-Josse < Arlette Laguiller < Lionel Jospin < Noël Mamère < Olivier Besancenot < Robert Hue,488.0,365,292,11
Gy-Les-Nonains,France 2002,approval.csv,Minimal Swaps,Jean-Pierre Chevènement < Alain Madelin < François Bayrou < Jacques Chirac < Jean-Marie Le Pen < Jean Saint-Josse < Arlette Laguiller < Lionel Jospin < Noël Mamère < Olivier Besancenot < Robert Hue,531.0,365,292,11
Gy-Les-Nonains,France 2002,approval.csv,Forbidden Triples,Jean Saint-Josse < Alain Madelin < Jacques Chirac < Jean-Marie Le Pen < François Bayrou < Jean-Pierre Chevènement < Arlette Laguiller < Olivier Besancenot < Noël Mamère < Lionel Jospin < Robert Hue,1119.0,365,292,11
IEP Paris,France 2002,approval.csv,Voter Deletion,Jean-Marie Le Pen < Alain Madelin < François Bayrou < Jacques Chirac < Jean-Pierre Chevènement < Lionel Jospin < Noël Mamère < Arlette Laguiller < Robert Hue < Olivier Besancenot,158.0,408,309,10
IEP Paris,France 2002,approval.csv,Minimal Flips,Jean-Marie Le Pen < Alain Madelin < François Bayrou < Jacques Chirac < Jean-Pierre Chevènement < Lionel Jospin < Noël Mamère < Arlette Laguiller < Robert Hue < Olivier Besancenot,173.0,408,309,10
IEP Paris,France 2002,approval.csv,Ballot Completion,Jean-Marie Le Pen < Alain Madelin < Jacques Chirac < François Bayrou < Jean-Pierre Chevènement < Lionel Jospin < Noël Mamère < Arlette Laguiller < Robert Hue < Olivier Besancenot,241.0,408,309,10
IEP Paris,France 2002,approval.csv,Minimal Swaps,Jean-Marie Le Pen < Alain Madelin < François Bayrou < Jacques Chirac < Jean-Pierre Chevènement < Lionel Jospin < Noël Mamère < Arlette Laguiller < Robert Hue < Olivier Besancenot,255.0,408,309,10
IEP Paris,France 2002,approval.csv,Minimal Swaps,Jean-Marie Le Pen < Alain Madelin < Jacques Chirac < François Bayrou < Jean-Pierre Chevènement < Lionel Jospin < Noël Mamère < Arlette Laguiller < Robert Hue < Olivier Besancenot,255.0,408,309,10
IEP Paris,France 2002,approval.csv,Forbidden Triples,Jean-Marie Le Pen < Alain Madelin < Jacques Chirac < François Bayrou < Jean-Pierre Chevènement < Lionel Jospin < Noël Mamère < Robert Hue < Arlette Laguiller < Olivier Besancenot,503.0,408,309,10
IEP Paris,France 2002,approval.csv,Forbidden Triples,Jean-Marie Le Pen < Alain Madelin < Jacques Chirac < François Bayrou < Jean-Pierre Chevènement < Lionel Jospin < Noël Mamère < Arlette Laguiller < Robert Hue < Olivier Besancenot,503.0,408,309,10
Orsay,France 2002,approval.csv,Voter Deletion,Robert Hue < Arlette Laguiller < Olivier Besancenot < Noël Mamère < Lionel Jospin < Jean-Pierre Chevènement < François Bayrou < Jacques Chirac < Alain Madelin < Jean-Marie Le Pen < Jean Saint-Josse,1012.0,2220,1847,11
Orsay,France 2002,approval.csv,Minimal Flips,Robert Hue < Arlette Laguiller < Olivier Besancenot < Noël Mamère < Lionel Jospin < Jean-Pierre Chevènement < François Bayrou < Jacques Chirac < Alain Madelin < Jean-Marie Le Pen < Jean Saint-Josse,1227.0,2220,1847,11
Orsay,France 2002,approval.csv,Ballot Completion,Robert Hue < Arlette Laguiller < Olivier Besancenot < Noël Mamère < Lionel Jospin < Jean-Pierre Chevènement < François Bayrou < Jacques Chirac < Alain Madelin < Jean-Marie Le Pen < Jean Saint-Josse,2080.0,2220,1847,11
Orsay,France 2002,approval.csv,Minimal Swaps,Robert Hue < Arlette Laguiller < Olivier Besancenot < Noël Mamère < Lionel Jospin < Jean-Pierre Chevènement < François Bayrou < Jacques Chirac < Alain Madelin < Jean-Marie Le Pen < Jean Saint-Josse,2232.0,2220,1847,11
Orsay,France 2002,approval.csv,Forbidden Triples,Robert Hue < Arlette Laguiller < Olivier Besancenot < Noël Mamère < Lionel Jospin < Jean-Pierre Chevènement < François Bayrou < Jacques Chirac < Alain Madelin < Jean-Marie Le Pen < Jean Saint-Josse,4690.0,2220,1847,11
In Situ,France 2007,approval.csv,Voter Deletion,Frédéric Nihous < Arlette Laguiller < Marie-George Buffet < Dominique Voynet < José Bové < Olivier Besancenot < Ségolène Royal < François Bayrou < Nicolas Sarkozy < Jean-Marie Le Pen < Philippe de Villiers,1026.0,2836,1953,11
In Situ,France 2007,approval.csv,Minimal Flips,Arlette Laguiller < Marie-George Buffet < Dominique Voynet < José Bové < Olivier Besancenot < Ségolène Royal < François Bayrou < Nicolas Sarkozy < Jean-Marie Le Pen < Philippe de Villiers < Frédéric Nihous,1227.0,2836,1953,11
