VD,MF,BC,MS,FT,VD_rank,FT_rank
6.0,2.5,4.0,4.666666666666667,2.0,10.0,6.0
6.5,7.0,8.0,7.0,7.0,9.0,4.0
3.0,2.0,2.0,2.0,3.0,3.0,2.0
2.0,4.0,0.0,0.0,0.0,6.666666666666667,6.0
10.0,5.333333333333333,10.0,9.0,5.0,6.5,7.0
7.0,8.666666666666666,5.5,9.0,8.0,8.5,3.0
3.0,9.0,9.333333333333334,9.0,6.0,6.0,10.0
7.666666666666667,6.5,6.0,5.5,6.5,9.0,7.0
2.5,2.0,3.0,2.5,1.0,8.0,6.0
7.0,9.0,9.5,9.5,9.0,8.0,7.0
10.0,8.0,9.5,10.0,10.0,7.333333333333333,10.0
9.0,8.0,3.0,9.0,9.75,9.0,1.0
8.0,8.0,7.0,7.0,7.0,8.5,7.0
9.333333333333334,7.5,7.0,7.0,7.0,8.4,7.0
5.0,8.0,5.0,4.0,9.0,9.75,10.0
4.0,4.0,2.0,2.0,3.0,3.5,2.0
5.0,5.333333333333333,4.0,3.5,4.0,7.25,1.0
4.0,5.5,4.0,2.0,2.0,6.666666666666667,8.0
4.0,3.5,2.5,2.5,3.0,7.833333333333333,3.0
8.0,6.5,9.0,7.0,7.0,10.0,9.0
5.0,2.5,4.5,3.0,3.0,10.0,2.0
5.5,9.5,4.0,1.5,10.0,8.125,9.0
9.0,9.0,6.0,6.0,8.0,8.333333333333334,8.0
7.0,2.0,10.0,10.0,0.5,10.0,6.0
3.0,2.5,2.0,2.0,2.0,10.0,1.0
6.5,6.5,6.0,6.5,6.5,10.0,6.0
5.0,5.666666666666667,3.0,9.0,4.0,10.0,7.0
2.0,2.0,1.0,1.0,2.0,10.0,8.0
4.4,3.0,7.0,4.0,3.0,6.0,8.0
6.0,5.5,3.0,4.0,6.0,3.0,10.0
8.5,5.5,9.0,9.0,9.0,7.0,9.0
5.0,8.0,5.0,1.0,3.5,6.0,6.0
4.0,2.0,3.5,2.0,0.5,2.0,2.0
3.5,3.5,1.5,1.5,2.0,3.5,4.0
4.0,4.0,5.5,7.0,7.0,8.25,9.0
7.666666666666667,7.75,7.0,6.0,5.0,8.0,7.0
7.333333333333333,7.5,6.5,7.0,9.0,9.0,3.5
8.0,8.0,8.5,8.0,8.0,7.0,10.0
3.0,7.333333333333333,4.5,4.0,3.0,9.0,4.0
8.0,8.5,8.5,9.5,9.0,6.142857142857143,6.0
2.0,3.0,10.0,7.0,7.0,7.0,9.0
5.0,3.2,1.5,1.0,1.0,2.0,3.0
2.0,2.0,2.0,2.0,2.0,7.8,4.0
9.0,10.0,9.0,9.0,9.0,10.0,10.0
4.0,4.0,2.0,2.0,3.0,6.833333333333333,2.0
7.0,5.0,5.0,5.0,6.0,9.0,7.0
6.0,5.0,6.0,7.0,3.0,8.0,1.0
10.0,9.0,6.0,10.0,10.0,9.666666666666666,9.0
2.0,2.5,0.0,2.0,2.0,6.5,8.0
9.0,7.0,7.666666666666667,8.0,8.0,9.0,10.0
5.666666666666667,4.0,9.5,3.0,5.0,8.333333333333334,2.0
10.0,8.0,10.0,10.0,9.0,9.0,7.5
8.0,7.0,8.5,7.0,7.0,7.857142857142857,4.0
9.5,9.0,5.5,5.0,4.0,6.0,8.0
1.5,2.0,2.0,2.0,2.0,6.0,2.0
10.0,10.0,3.5,4.5,3.0,5.5,3.5
4.0,4.0,6.0,8.0,6.5,7.5,8.0
5.0,9.5,4.0,4.0,9.5,2.0,3.0
9.5,7.4,6.0,6.833333333333333,5.0,9.0,8.0
7.0,7.0,2.0,4.0,5.0,7.0,5.0
1.0,0.0,2.0,2.0,0.5,7.0,3.0
9.0,8.666666666666666,7.0,7.0,7.0,2.0,1.0
6.5,4.0,6.0,7.5,4.5,9.0,6.0
4.666666666666667,6.5,4.0,3.0,3.0,9.0,2.0
8.0,2.0,1.5,1.5,1.0,10.0,10.0
7.0,4.0,6.0,5.0,7.5,8.166666666666666,6.0
8.0,10.0,10.0,8.0,8.0,8.0,7.0
5.0,6.0,4.0,5.0,5.0,7.125,6.0
7.75,9.0,7.0,7.5,9.0,5.666666666666667,6.0
8.0,4.0,4.0,5.0,5.0,4.0,3.0
10.0,8.0,10.0,10.0,9.0,7.5,6.0
8.0,8.333333333333334,3.0,7.0,3.0,7.5,6.0
7.0,7.0,1.0,4.0,3.0,7.0,5.0
8.0,9.0,8.0,8.333333333333334,9.0,8.0,7.5
2.5,2.0,2.0,3.0,2.0,7.5,5.0
7.5,7.0,10.0,10.0,7.0,7.571428571428571,6.0
4.0,2.0,2.0,2.0,2.0,6.5,3.0
4.0,6.0,2.0,2.0,6.0,6.8,5.0
6.285714285714286,5.5,6.5,6.0,6.0,6.5,10.0
1.0,1.0,2.5,1.0,0.0,3.0,8.0
7.0,9.0,8.0,8.5,8.0,6.75,8.0
10.0,7.5,9.0,7.5,10.0,8.0,9.0
2.5,3.3333333333333335,2.0,3.0,3.0,4.0,7.0
6.0,3.75,5.0,5.0,5.0,10.0,6.0
6.5,7.0,6.0,2.0,10.0,9.0,6.0
2.0,8.5,9.0,8.0,6.5,4.0,5.0
9.0,10.0,10.0,10.0,10.0,9.0,8.0
7.0,8.0,8.0,8.0,8.0,9.0,7.0
5.0,4.0,5.0,5.0,5.5,6.0,3.0
4.166666666666667,9.0,5.0,8.5,5.0,8.4,7.0
5.0,7.0,8.5,4.5,5.0,7.8,2.0
8.0,2.0,6.5,6.0,9.0,9.0,3.0
3.0,4.5,2.0,3.0,2.0,5.0,6.0
6.75,6.0,5.5,5.0,6.0,7.0,7.0
6.0,3.0,7.0,7.0,1.5,5.0,7.0
5.0,5.0,9.5,4.0,5.5,8.333333333333334,10.0
6.666666666666667,9.0,9.0,10.0,6.0,9.5,10.0
10.0,6.666666666666667,8.0,8.0,8.0,8.733333333333333,8.0
5.666666666666667,4.0,4.0,4.0,5.0,7.285714285714286,4.0
4.0,3.0,3.0,2.5,3.0,6.0,2.0
3.5,9.0,4.0,8.0,8.0,1.0,6.0
7.0,6.0,7.0,6.0,6.0,6.666666666666667,6.0
5.0,4.5,4.0,4.0,4.0,10.0,4.0
5.0,5.0,2.0,2.0,3.0,6.5,2.5
4.0,5.0,3.0,4.5,5.0,7.5,6.0
7.5,7.5,5.5,7.333333333333333,6.5,10.0,7.0
5.0,5.0,6.0,6.0,5.0,5.0,1.0
6.5,7.0,9.0,8.5,8.0,6.0,8.0
7.8,7.333333333333333,10.0,8.0,8.0,10.0,7.333333333333333
4.0,4.0,4.0,7.0,7.0,7.5,4.0
6.833333333333333,6.166666666666667,6.0,6.5,6.5,9.0,8.0
2.0,5.0,3.0,3.0,3.0,6.5,2.0
10.0,10.0,6.0,5.0,5.0,10.0,10.0
5.0,7.0,7.0,7.0,7.0,7.5,9.0
9.0,7.0,4.0,5.0,9.0,6.0,5.0
8.8,9.0,7.0,8.5,9.0,6.5,5.0
6.428571428571429,4.0,8.0,8.0,7.5,9.0,6.5
1.0,2.0,5.0,5.0,1.0,9.0,3.0
3.5,3.0,2.5,2.0,2.0,5.0,1.0
10.0,4.0,5.0,5.0,5.0,8.0,6.5
