dataset,year,file,rule,axis,score,n_voters,active_voters,n_candidates
Online,France 2022,approval.csv,Voter Deletion,Jean Lassalle < Marine Le Pen < Eric Zemmour < Nicolas Dupont-Aignan < Valérie Pecresse < Emmanuel Macron < Anne Hidalgo < Yannick Jadot < Jean-Luc Mélenchon < Philippe Poutou < Nathalie Arthaud < Fabien Roussel,538.9389938029852,1379,1230,12
Online,France 2022,approval.csv,Minimal Flips,Nicolas Dupont-Aignan < Eric Zemmour < Marine Le Pen < Jean Lassalle < Valérie Pecresse < Emmanuel Macron < Yannick Jadot < Anne Hidalgo < Fabien Roussel < Jean-Luc Mélenchon < Philippe Poutou < Nathalie Arthaud,794.488828316066,1379,1230,12
Online,France 2022,approval.csv,Ballot Completion,Nicolas Dupont-Aignan < Eric Zemmour < Marine Le Pen < Jean Lassalle < Valérie Pecresse < Emmanuel Macron < Anne Hidalgo < Yannick Jadot < Jean-Luc Mélenchon < Fabien Roussel < Philippe Poutou < Nathalie Arthaud,1384.3345524329955,1379,1230,12
Online,France 2022,approval.csv,Minimal Swaps,Nicolas Dupont-Aignan < Eric Zemmour < Marine Le Pen < Jean Lassalle < Valérie Pecresse < Emmanuel Macron < Yannick Jadot < Anne Hidalgo < Jean-Luc Mélenchon < Fabien Roussel < Philippe Poutou < Nathalie Arthaud,1726.8813189977989,1379,1230,12
Online,France 2022,approval.csv,Forbidden Triples,Nicolas Dupont-Aignan < Eric Zemmour < Marine Le Pen < Jean Lassalle < Valérie Pecresse < Emmanuel Macron < Yannick Jadot < Anne Hidalgo < Fabien Roussel < Jean-Luc Mélenchon < Philippe Poutou < Nathalie Arthaud,4560.320752198945,1379,1230,12
