dataset,year,file,rule,axis,score,n_voters,active_voters,n_candidates
Online,France 2022,approval.csv,Voter Deletion,Valérie Pecresse < Emmanuel Macron < Anne Hidalgo < Yannick Jadot < Jean-Luc Mélenchon < Philippe Poutou < Nathalie Arthaud < Fabien Roussel < Jean Lassalle < Nicolas Dupont-Aignan < Marine Le Pen < Eric Zemmour,509,1379,1230,12
Online,France 2022,approval.csv,Voter Deletion,Valérie Pecresse < Emmanuel Macron < Anne Hidalgo < Yannick Jadot < Jean-Luc Mélenchon < Philippe Poutou < Nathalie Arthaud < Fabien Roussel < Jean Lassalle < Marine Le Pen < Eric Zemmour < Nicolas Dupont-Aignan,509,1379,1230,12
Online,France 2022,approval.csv,Minimal Flips,Valérie Pecresse < Emmanuel Macron < Anne Hidalgo < Yannick Jadot < Jean-Luc Mélenchon < Philippe Poutou < Nathalie Arthaud < Fabien Roussel < Jean Lassalle < Nicolas Dupont-Aignan < Marine Le Pen < Eric Zemmour,638,1379,1230,12
Online,France 2022,approval.csv,Ballot Completion,Eric Zemmour < Marine Le Pen < Nicolas Dupont-Aignan < Valérie Pecresse < Jean Lassalle < Emmanuel Macron < Anne Hidalgo < Yannick Jadot < Jean-Luc Mélenchon < Philippe Poutou < Fabien Roussel < Nathalie Arthaud,1098,1379,1230,12
Online,France 2022,approval.csv,Minimal Swaps,Eric Zemmour < Marine Le Pen < Nicolas Dupont-Aignan < Valérie Pecresse < Jean Lassalle < Emmanuel Macron < Anne Hidalgo < Yannick Jadot < Jean-Luc Mélenchon < Philippe Poutou < Fabien Roussel < Nathalie Arthaud,1273,1379,1230,12
Online,France 2022,approval.csv,Forbidden Triples,Valérie Pecresse < Emmanuel Macron < Anne Hidalgo < Fabien Roussel < Yannick Jadot < Jean-Luc Mélenchon < Philippe Poutou < Nathalie Arthaud < Jean Lassalle < Marine Le Pen < Nicolas Dupont-Aignan < Eric Zemmour,3213,1379,1230,12
