dataset,year,file,rule,axis,score,n_voters,active_voters,n_candidates
Gy-Les-Nonains,France 2002,approval.csv,Voter Deletion,Arlette Laguiller < Olivier Besancenot < Noël Mamère < Lionel Jospin < Jean-Pierre Chevènement < François Bayrou < Jacques Chirac < Jean-Marie Le Pen < Jean Saint-Josse,149.0,365,273,9
Gy-Les-Nonains,France 2002,approval.csv,Minimal Flips,Arlette Laguiller < Olivier Besancenot < Noël Mamère < Lionel Jospin < Jean-Pierre Chevènement < François Bayrou < Jacques Chirac < Jean-Marie Le Pen < Jean Saint-Josse,172.0,365,273,9
Gy-Les-Nonains,France 2002,approval.csv,Ballot Completion,Jean-Pierre Chevènement < François Bayrou < Jacques Chirac < Jean-Marie Le Pen < Jean Saint-Josse < Arlette Laguiller < Lionel Jospin < Noël Mamère < Olivier Besancenot,351.0,365,273,9
Gy-Les-Nonains,France 2002,approval.csv,Minimal Swaps,Jean-Pierre Chevènement < François Bayrou < Jacques Chirac < Jean-Marie Le Pen < Jean Saint-Josse < Arlette Laguiller < Lionel Jospin < Noël Mamère < Olivier Besancenot,385.0,365,273,9
Gy-Les-Nonains,France 2002,approval.csv,Forbidden Triples,Jean Saint-Josse < Jean-Marie Le Pen < Jacques Chirac < François Bayrou < Jean-Pierre Chevènement < Arlette Laguiller < Lionel Jospin < Noël Mamère < Olivier Besancenot,702.0,365,273,9
IEP Paris,France 2002,approval.csv,Voter Deletion,Jean-Marie Le Pen < Jean-Pierre Chevènement < Jacques Chirac < François Bayrou < Lionel Jospin < Noël Mamère < Arlette Laguiller < Olivier Besancenot,112.0,408,281,8
IEP Paris,France 2002,approval.csv,Minimal Flips,Jean-Marie Le Pen < François Bayrou < Jacques Chirac < Jean-Pierre Chevènement < Lionel Jospin < Noël Mamère < Arlette Laguiller < Olivier Besancenot,119.0,408,281,8
IEP Paris,France 2002,approval.csv,Ballot Completion,Jean-Marie Le Pen < François Bayrou < Jacques Chirac < Jean-Pierre Chevènement < Lionel Jospin < Noël Mamère < Arlette Laguiller < Olivier Besancenot,152.0,408,281,8
IEP Paris,France 2002,approval.csv,Minimal Swaps,Jean-Marie Le Pen < François Bayrou < Jacques Chirac < Jean-Pierre Chevènement < Lionel Jospin < Noël Mamère < Arlette Laguiller < Olivier Besancenot,157.0,408,281,8
IEP Paris,France 2002,approval.csv,Forbidden Triples,Jean-Marie Le Pen < Jacques Chirac < François Bayrou < Jean-Pierre Chevènement < Lionel Jospin < Noël Mamère < Arlette Laguiller < Olivier Besancenot,278.0,408,281,8
Orsay,France 2002,approval.csv,Voter Deletion,Arlette Laguiller < Olivier Besancenot < Noël Mamère < Lionel Jospin < Jean-Pierre Chevènement < François Bayrou < Jacques Chirac < Jean-Marie Le Pen < Jean Saint-Josse,771.0,2220,1706,9
Orsay,France 2002,approval.csv,Minimal Flips,Arlette Laguiller < Olivier Besancenot < Noël Mamère < Lionel Jospin < Jean-Pierre Chevènement < François Bayrou < Jacques Chirac < Jean-Marie Le Pen < Jean Saint-Josse,865.0,2220,1706,9
Orsay,France 2002,approval.csv,Ballot Completion,Arlette Laguiller < Olivier Besancenot < Noël Mamère < Lionel Jospin < Jean-Pierre Chevènement < François Bayrou < Jacques Chirac < Jean-Marie Le Pen < Jean Saint-Josse,1382.0,2220,1706,9
Orsay,France 2002,approval.csv,Minimal Swaps,Arlette Laguiller < Olivier Besancenot < Noël Mamère < Lionel Jospin < Jean-Pierre Chevènement < François Bayrou < Jacques Chirac < Jean-Marie Le Pen < Jean Saint-Josse,1448.0,2220,1706,9
Orsay,France 2002,approval.csv,Forbidden Triples,Arlette Laguiller < Olivier Besancenot < Noël Mamère < Lionel Jospin < Jean-Pierre Chevènement < François Bayrou < Jacques Chirac < Jean-Marie Le Pen < Jean Saint-Josse,2670.0,2220,1706,9
In Situ,France 2007,approval.csv,Voter Deletion,Arlette Laguiller < Marie-George Buffet < Dominique Voynet < Olivier Besancenot < Ségolène Royal < François Bayrou < Nicolas Sarkozy < Jean-Marie Le Pen < Philippe de Villiers,859.0,2836,1884,9
