VD,MF,BC,MS,FT,VD_rank,FT_rank
2.0,10.0,1.5,1.0,1.0,10.0,2.0
1.0,1.0,1.0,2.0,1.0,8.0,1.0
2.0,2.5,2.0,2.0,2.0,8.5,2.0
2.3333333333333335,2.0,2.0,2.0,2.0,6.5,3.0
3.0,2.0,3.0,2.0,2.0,8.0,2.0
8.0,9.0,9.0,8.0,2.0,7.5,9.0
6.0,4.0,2.5,2.0,2.0,9.5,3.0
6.666666666666667,6.0,5.0,7.0,7.0,7.2,4.0
4.0,10.0,4.0,0.5,1.0,10.0,4.0
2.0,2.0,1.5,1.0,1.0,7.25,1.0
6.0,5.0,5.0,5.0,5.0,8.0,8.0
2.3333333333333335,2.0,3.0,2.0,2.0,8.0,0.0
7.5,4.6,4.5,6.0,3.5,9.0,4.0
3.5,3.0,3.0,4.0,3.0,8.666666666666666,3.0
4.5,1.0,0.0,1.0,1.0,7.833333333333333,3.0
1.4,1.25,1.0,1.0,1.0,6.0,0.0
0.0,1.5,1.0,1.0,1.0,9.0,1.0
1.0,1.0,1.0,1.0,2.0,10.0,1.0
2.6666666666666665,4.0,5.0,2.0,1.0,9.5,3.0
4.0,5.0,4.0,4.0,4.0,6.666666666666667,6.5
0.0,0.0,0.0,0.0,0.0,5.0,1.0
3.0,1.0,6.0,6.0,6.0,6.4,2.0
4.0,1.0,1.0,1.0,1.0,7.5,10.0
3.0,4.0,3.0,3.0,3.0,7.0,1.0
1.5,1.0,1.0,1.0,1.0,9.0,2.0
7.0,7.5,10.0,6.0,6.0,10.0,6.0
1.3333333333333333,2.0,2.0,2.5,1.0,4.0,1.0
9.0,6.0,9.0,5.0,7.0,9.0,6.0
2.0,2.0,0.0,0.0,0.0,8.0,2.0
6.0,2.0,4.0,2.0,3.0,9.0,10.0
2.0,2.0,3.0,3.0,2.0,6.25,1.0
1.0,1.5,1.5,1.0,1.0,6.0,1.0
5.0,5.0,6.0,6.0,6.5,5.25,5.0
8.0,9.0,9.0,7.0,7.5,8.5,5.0
2.5,1.0,1.0,1.0,0.0,10.0,4.0
2.5,3.0,2.0,2.0,2.0,9.0,2.0
8.333333333333334,7.5,8.0,8.0,7.5,7.0,8.0
7.2,9.0,9.0,8.0,6.0,8.0,9.0
3.5,5.5,10.0,7.0,4.0,8.0,8.0
3.0,1.0,0.5,0.0,3.0,3.0,3.0
2.5,2.0,3.0,3.0,2.0,8.0,2.0
2.0,1.0,3.0,1.0,2.0,6.142857142857143,1.0
2.0,2.0,1.0,1.0,0.5,10.0,2.0
4.0,3.3333333333333335,2.0,5.0,5.0,7.6,3.5
3.6666666666666665,5.0,3.5,4.0,3.5,8.75,7.0
5.4,3.0,1.5,2.0,2.0,10.0,1.0
2.6666666666666665,0.0,1.0,4.0,4.0,6.0,4.0
5.0,4.5,5.5,3.0,4.0,8.0,8.0
3.0,3.5,2.5,3.0,3.0,7.0,4.0
3.0,3.0,8.0,4.0,4.0,6.5,6.0
4.5,1.0,2.0,2.0,1.0,3.0,5.0
8.0,6.0,8.0,7.0,7.5,9.0,8.0
2.0,2.0,2.0,2.0,1.5,8.5,0.0
5.0,10.0,7.666666666666667,4.0,3.0,9.5,2.5
9.333333333333334,8.0,8.0,7.0,8.0,7.0,4.5
7.0,2.0,2.0,2.0,2.0,7.0,3.0
9.0,8.0,7.5,9.0,8.5,3.0,2.0
7.5,8.5,9.0,10.0,10.0,8.0,5.0
8.0,7.5,9.0,10.0,9.0,8.0,9.0
7.0,8.2,8.5,6.0,5.0,7.833333333333333,8.0
3.0,4.5,0.5,1.0,1.0,8.0,4.0
7.5,10.0,8.0,8.5,9.0,7.25,9.0
3.0,1.0,3.0,3.0,3.0,6.5,4.0
7.5,4.0,3.5,4.333333333333333,4.0,7.333333333333333,5.0
