dataset,year,file,rule,axis,score,n_voters,active_voters,n_candidates
Gy-Les-Nonains,France 2002,approval.csv,Voter Deletion,Jean-Pierre Chevènement < François Bayrou < Alain Madelin < Jacques Chirac < Jean Saint-Josse < Jean-Marie Le Pen < Arlette Laguiller < Olivier Besancenot < Noël Mamère < Lionel Jospin,172.0,365,287,10
Gy-Les-Nonains,France 2002,approval.csv,Voter Deletion,Jean-Pierre Chevènement < François Bayrou < Alain Madelin < Jacques Chirac < Jean Saint-Josse < Jean-Marie Le Pen < Arlette Laguiller < Olivier Besancenot < Lionel Jospin < Noël Mamère,172.0,365,287,10
Gy-Les-Nonains,France 2002,approval.csv,Minimal Flips,Arlette Laguiller < Olivier Besancenot < Noël Mamère < Lionel Jospin < Jean-Pierre Chevènement < François Bayrou < Alain Madelin < Jacques Chirac < Jean-Marie Le Pen < Jean Saint-Josse,209.0,365,287,10
Gy-Les-Nonains,France 2002,approval.csv,Ballot Completion,Alain Madelin < François Bayrou < Jacques Chirac < Jean-Marie Le Pen < Jean-Pierre Chevènement < Jean Saint-Josse < Arlette Laguiller < Lionel Jospin < Noël Mamère < Olivier Besancenot,446.0,365,287,10
Gy-Les-Nonains,France 2002,approval.csv,Minimal Swaps,Jean-Pierre Chevènement < Alain Madelin < François Bayrou < Jacques Chirac < Jean-Marie Le Pen < Jean Saint-Josse < Arlette Laguiller < Lionel Jospin < Noël Mamère < Olivier Besancenot,485.0,365,287,10
Gy-Les-Nonains,France 2002,approval.csv,Forbidden Triples,Arlette Laguiller < Olivier Besancenot < Noël Mamère < Lionel Jospin < Jean-Pierre Chevènement < François Bayrou < Jean-Marie Le Pen < Jacques Chirac < Alain Madelin < Jean Saint-Josse,967.0,365,287,10
IEP Paris,France 2002,approval.csv,Voter Deletion,Jean-Marie Le Pen < Alain Madelin < François Bayrou < Jacques Chirac < Jean-Pierre Chevènement < Lionel Jospin < Noël Mamère < Arlette Laguiller < Olivier Besancenot,131.0,408,297,9
IEP Paris,France 2002,approval.csv,Minimal Flips,Jean-Marie Le Pen < Alain Madelin < François Bayrou < Jacques Chirac < Jean-Pierre Chevènement < Lionel Jospin < Noël Mamère < Arlette Laguiller < Olivier Besancenot,141.0,408,297,9
IEP Paris,France 2002,approval.csv,Ballot Completion,Jean-Marie Le Pen < Alain Madelin < Jacques Chirac < François Bayrou < Jean-Pierre Chevènement < Lionel Jospin < Noël Mamère < Arlette Laguiller < Olivier Besancenot,185.0,408,297,9
IEP Paris,France 2002,approval.csv,Minimal Swaps,Jean-Marie Le Pen < Alain Madelin < François Bayrou < Jacques Chirac < Jean-Pierre Chevènement < Lionel Jospin < Noël Mamère < Arlette Laguiller < Olivier Besancenot,193.0,408,297,9
