dataset,year,file,rule,axis,score,n_voters,active_voters,n_candidates
Crolles,France 2017,approval.csv,Voter Deletion,Jean Lassalle < Philippe Poutou < Jean-Luc Mélenchon < Benoît Hamon < Emmanuel Macron < François Fillon < Marine Le Pen < Nicolas Dupont-Aignan,402.51428579711,1321,1052,8
Crolles,France 2017,approval.csv,Minimal Flips,Philippe Poutou < Jean-Luc Mélenchon < Benoît Hamon < Emmanuel Macron < François Fillon < Marine Le Pen < Nicolas Dupont-Aignan < Jean Lassalle,473.39273193672955,1321,1052,8
Crolles,France 2017,approval.csv,Ballot Completion,Jean Lassalle < Philippe Poutou < Jean-Luc Mélenchon < Benoît Hamon < Emmanuel Macron < François Fillon < Marine Le Pen < Nicolas Dupont-Aignan,760.996506564814,1321,1052,8
Crolles,France 2017,approval.csv,Minimal Swaps,Jean Lassalle < Philippe Poutou < Jean-Luc Mélenchon < Benoît Hamon < Emmanuel Macron < François Fillon < Marine Le Pen < Nicolas Dupont-Aignan,813.3650299684574,1321,1052,8
Crolles,France 2017,approval.csv,Forbidden Triples,Jean Lassalle < Philippe Poutou < Benoît Hamon < Jean-Luc Mélenchon < Emmanuel Macron < François Fillon < Nicolas Dupont-Aignan < Marine Le Pen,1542.6386500623387,1321,1052,8
Crolles,France 2017,approval_with_runoff_1.csv,Voter Deletion,Philippe Poutou < Jean-Luc Mélenchon < Benoît Hamon < Emmanuel Macron < François Fillon < Marine Le Pen < Nicolas Dupont-Aignan < Jean Lassalle,419.25719334138427,1296,1102,8
Crolles,France 2017,approval_with_runoff_1.csv,Minimal Flips,Philippe Poutou < Jean-Luc Mélenchon < Benoît Hamon < Emmanuel Macron < François Fillon < Marine Le Pen < Nicolas Dupont-Aignan < Jean Lassalle,479.51464752625265,1296,1102,8
Crolles,France 2017,approval_with_runoff_1.csv,Ballot Completion,Philippe Poutou < Jean-Luc Mélenchon < Benoît Hamon < Emmanuel Macron < François Fillon < Marine Le Pen < Nicolas Dupont-Aignan < Jean Lassalle,795.3764650519396,1296,1102,8
Crolles,France 2017,approval_with_runoff_1.csv,Minimal Swaps,Philippe Poutou < Jean-Luc Mélenchon < Benoît Hamon < Emmanuel Macron < François Fillon < Marine Le Pen < Nicolas Dupont-Aignan < Jean Lassalle,836.5502248096858,1296,1102,8
Crolles,France 2017,approval_with_runoff_1.csv,Forbidden Triples,Philippe Poutou < Benoît Hamon < Jean-Luc Mélenchon < Emmanuel Macron < François Fillon < Marine Le Pen < Nicolas Dupont-Aignan < Jean Lassalle,1637.4332360490341,1296,1102,8
Grenoble,France 2017,approval.csv,Voter Deletion,Philippe Poutou < Jean-Luc Mélenchon < Benoît Hamon < Emmanuel Macron < François Fillon < Marine Le Pen < Nicolas Dupont-Aignan < Jean Lassalle,238.8942261015045,1069,849,8
Grenoble,France 2017,approval.csv,Minimal Flips,Philippe Poutou < Jean-Luc Mélenchon < Benoît Hamon < Emmanuel Macron < François Fillon < Marine Le Pen < Nicolas Dupont-Aignan < Jean Lassalle,259.29399856448197,1069,849,8
Grenoble,France 2017,approval.csv,Ballot Completion,Philippe Poutou < Jean-Luc Mélenchon < Benoît Hamon < Emmanuel Macron < François Fillon < Marine Le Pen < Nicolas Dupont-Aignan < Jean Lassalle,512.7811192885663,1069,849,8
Grenoble,France 2017,approval.csv,Minimal Swaps,Philippe Poutou < Jean-Luc Mélenchon < Benoît Hamon < Emmanuel Macron < François Fillon < Marine Le Pen < Nicolas Dupont-Aignan < Jean Lassalle,538.3783928907231,1069,849,8
Grenoble,France 2017,approval.csv,Forbidden Triples,Philippe Poutou < Jean-Luc Mélenchon < Benoît Hamon < Emmanuel Macron < François Fillon < Marine Le Pen < Nicolas Dupont-Aignan < Jean Lassalle,1070.6808709853958,1069,849,8
HSC,France 2017,approval.csv,Voter Deletion,Philippe Poutou < Jean-Luc Mélenchon < Benoît Hamon < Emmanuel Macron < François Fillon < Marine Le Pen < Nicolas Dupont-Aignan < Jean Lassalle,172.04689078625356,711,517,8
HSC,France 2017,approval.csv,Minimal Flips,Philippe Poutou < Jean-Luc Mélenchon < Benoît Hamon < Emmanuel Macron < François Fillon < Marine Le Pen < Nicolas Dupont-Aignan < Jean Lassalle,189.94715176283302,711,517,8
HSC,France 2017,approval.csv,Ballot Completion,Philippe Poutou < Jean-Luc Mélenchon < Benoît Hamon < Emmanuel Macron < François Fillon < Marine Le Pen < Nicolas Dupont-Aignan < Jean Lassalle,363.4063846829399,711,517,8
HSC,France 2017,approval.csv,Minimal Swaps,Philippe Poutou < Jean-Luc Mélenchon < Benoît Hamon < Emmanuel Macron < François Fillon < Marine Le Pen < Nicolas Dupont-Aignan < Jean Lassalle,385.3249188076063,711,517,8
HSC,France 2017,approval.csv,Forbidden Triples,Philippe Poutou < Benoît Hamon < Jean-Luc Mélenchon < Emmanuel Macron < François Fillon < Marine Le Pen < Nicolas Dupont-Aignan < Jean Lassalle,665.2770092304216,711,517,8
Online,France 2017,approval.csv,Voter Deletion,Jean Lassalle < Marine Le Pen < Nicolas Dupont-Aignan < François Fillon < Emmanuel Macron < Benoît Hamon < Jean-Luc Mélenchon < Philippe Poutou,4617.5904414521265,20076,16245,8
Online,France 2017,approval.csv,Minimal Flips,Jean Lassalle < Marine Le Pen < Nicolas Dupont-Aignan < François Fillon < Emmanuel Macron < Benoît Hamon < Jean-Luc Mélenchon < Philippe Poutou,5431.794204396398,20076,16245,8
Online,France 2017,approval.csv,Ballot Completion,Jean Lassalle < Marine Le Pen < Nicolas Dupont-Aignan < François Fillon < Emmanuel Macron < Benoît Hamon < Jean-Luc Mélenchon < Philippe Poutou,10728.651966208356,20076,16245,8
Online,France 2017,approval.csv,Minimal Swaps,Jean Lassalle < Marine Le Pen < Nicolas Dupont-Aignan < François Fillon < Emmanuel Macron < Benoît Hamon < Jean-Luc Mélenchon < Philippe Poutou,11579.478655747595,20076,16245,8
Online,France 2017,approval.csv,Forbidden Triples,Jean Lassalle < Marine Le Pen < Nicolas Dupont-Aignan < François Fillon < Emmanuel Macron < Jean-Luc Mélenchon < Benoît Hamon < Philippe Poutou,23299.195503552557,20076,16245,8
Strasbourg,France 2017,approval.csv,Voter Deletion,Jean Lassalle < Philippe Poutou < Jean-Luc Mélenchon < Benoît Hamon < Emmanuel Macron < François Fillon < Nicolas Dupont-Aignan < Marine Le Pen,274.7818437551298,1071,743,8
Strasbourg,France 2017,approval.csv,Minimal Flips,Jean Lassalle < Philippe Poutou < Jean-Luc Mélenchon < Benoît Hamon < Emmanuel Macron < François Fillon < Nicolas Dupont-Aignan < Marine Le Pen,323.88300487688116,1071,743,8
Strasbourg,France 2017,approval.csv,Ballot Completion,Jean Lassalle < Philippe Poutou < Benoît Hamon < Jean-Luc Mélenchon < Emmanuel Macron < François Fillon < Marine Le Pen < Nicolas Dupont-Aignan,613.5770817011924,1071,743,8
Strasbourg,France 2017,approval.csv,Minimal Swaps,Jean Lassalle < Philippe Poutou < Benoît Hamon < Jean-Luc Mélenchon < Emmanuel Macron < François Fillon < Marine Le Pen < Nicolas Dupont-Aignan,627.8046271526285,1071,743,8
Strasbourg,France 2017,approval.csv,Forbidden Triples,Jean Lassalle < Philippe Poutou < Benoît Hamon < Jean-Luc Mélenchon < Emmanuel Macron < François Fillon < Nicolas Dupont-Aignan < Marine Le Pen,1134.398946680672,1071,743,8
Online,France 2022,approval.csv,Voter Deletion,Jean Lassalle < Marine Le Pen < Eric Zemmour < Valérie Pecresse < Emmanuel Macron < Yannick Jadot < Jean-Luc Mélenchon < Fabien Roussel,342.45052777839476,1379,1004,8
Online,France 2022,approval.csv,Minimal Flips,Jean Lassalle < Marine Le Pen < Eric Zemmour < Valérie Pecresse < Emmanuel Macron < Yannick Jadot < Jean-Luc Mélenchon < Fabien Roussel,443.6449269146759,1379,1004,8
Online,France 2022,approval.csv,Ballot Completion,Eric Zemmour < Marine Le Pen < Jean Lassalle < Valérie Pecresse < Emmanuel Macron < Yannick Jadot < Jean-Luc Mélenchon < Fabien Roussel,729.9236795404856,1379,1004,8
Online,France 2022,approval.csv,Minimal Swaps,Eric Zemmour < Marine Le Pen < Jean Lassalle < Valérie Pecresse < Emmanuel Macron < Yannick Jadot < Jean-Luc Mélenchon < Fabien Roussel,817.8030009320511,1379,1004,8
Online,France 2022,approval.csv,Forbidden Triples,Eric Zemmour < Marine Le Pen < Jean Lassalle < Valérie Pecresse < Emmanuel Macron < Yannick Jadot < Jean-Luc Mélenchon < Fabien Roussel,1741.6253619380605,1379,1004,8
