VD,MF,BC,MS,FT,VD_rank,FT_rank
1.5,1.5,1.0,1.0,1.0,6.0,0.0
0.5,0.5,0.5,0.0,0.0,7.5,0.0
1.0,1.0,1.5,2.0,2.0,9.0,2.0
2.5,2.5,9.5,2.0,2.0,9.0,7.0
2.0,2.0,1.0,2.0,2.0,8.0,3.0
3.0,2.5,3.0,2.0,2.0,8.6,1.5
0.0,0.5,0.0,1.0,1.0,9.0,0.0
2.0,2.0,2.0,2.5,2.0,6.0,2.0
2.4,2.0,7.0,1.0,1.0,8.0,2.0
9.0,10.0,10.0,10.0,10.0,7.5,10.0
7.0,7.0,10.0,7.333333333333333,7.0,6.0,1.0
0.5,0.5,0.5,1.0,1.0,8.5,1.5
1.0,1.0,1.0,2.0,1.0,4.5,3.5
0.0,0.0,0.0,0.0,0.0,9.0,0.0
3.5,3.5,4.0,5.5,5.0,10.0,1.0
4.5,4.0,4.5,3.0,3.0,8.0,1.0
3.0,2.0,1.0,1.0,2.0,10.0,1.0
3.0,2.5,3.0,2.5,3.0,9.5,1.0
1.5,1.0,1.0,1.0,1.0,4.0,0.0
10.0,10.0,10.0,9.5,10.0,7.0,8.0
0.5,0.0,2.0,3.0,0.0,9.0,4.0
2.0,1.5,1.0,1.5,2.0,10.0,2.0
0.0,0.0,0.0,2.0,0.0,8.0,0.0
2.0,1.5,2.0,1.0,1.0,9.0,1.0
1.0,1.0,1.0,1.0,1.0,10.0,0.0
1.0,1.0,1.0,1.0,1.0,9.5,0.0
1.0,2.0,2.0,2.0,2.0,10.0,0.0
1.5,1.5,1.5,2.0,2.0,9.0,1.0
1.0,1.0,1.0,0.0,0.0,7.6,0.0
1.0,1.0,1.0,0.0,1.0,6.0,0.0
1.3333333333333333,2.5,3.0,1.0,0.0,3.0,0.0
0.0,0.0,0.0,0.0,0.0,9.0,1.0
0.0,0.0,0.0,0.0,0.0,9.0,0.0
1.0,1.0,1.0,0.0,0.0,8.75,0.0
1.0,1.0,1.0,0.5,1.0,8.0,1.0
