VD,MF,BC,MS,FT,VD_rank,FT_rank
1.0,1.0,1.0,0.0,0.0,8.666666666666666,0.0
1.0,1.0,1.0,1.0,1.0,8.0,1.0
1.0,0.5,0.5,0.5,0.5,8.5,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,4.0,0.0
1.5,1.5,1.5,1.0,1.0,1.0,1.0
0.0,0.0,0.0,0.5,0.0,6.0,0.0
2.0,2.0,1.5,1.5,2.0,9.333333333333334,0.0
2.5,3.0,3.0,1.0,1.0,0.0,0.0
1.5,1.5,1.5,1.5,2.0,10.0,0.0
2.0,2.0,1.0,1.0,1.0,9.0,0.0
1.0,1.0,0.0,0.0,0.0,8.0,0.0
0.5,1.0,1.0,1.0,1.0,9.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,8.5,0.0
0.0,0.0,0.0,0.0,0.0,7.0,0.0
0.0,0.0,0.0,0.0,0.0,6.0,0.0
0.0,1.0,0.0,0.0,0.0,5.25,0.0
0.0,0.0,0.0,0.0,0.0,8.0,0.0
0.0,0.0,0.0,0.0,0.0,9.0,0.0
1.5,1.5,1.5,1.5,2.0,6.0,1.0
0.0,0.0,0.0,0.0,0.0,8.0,0.0
1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.0,1.0,0.5,1.0,0.0,9.0,0.0
0.0,0.0,0.0,0.0,0.0,8.5,0.0
0.0,0.0,0.0,0.0,0.0,10.0,0.0
1.5,1.5,1.5,1.5,2.0,9.75,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,7.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1.0,1.5,1.0,1.0,9.0,1.0
1.0,1.0,0.5,0.0,0.0,10.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5,1.5,1.0,1.0,1.0,7.5,1.0
1.5,1.0,1.0,0.5,1.0,7.5,0.0
1.0,1.0,0.0,1.0,1.0,5.5,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.5,1.5,1.5,1.5,9.5,1.0
1.0,1.0,1.0,1.0,1.0,8.0,1.0
1.0,1.0,1.0,1.0,1.0,8.0,0.0
1.0,1.0,1.0,1.0,1.0,8.0,0.0
1.5,1.0,1.5,1.0,1.0,6.0,0.5
1.0,1.0,1.0,1.0,1.0,8.5,0.0
0.5,1.0,0.5,0.5,0.0,9.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,2.0,2.0,2.0,2.0,2.0,1.0
2.0,1.0,3.0,2.0,2.0,10.0,1.0
0.0,0.0,0.0,0.5,0.0,8.0,0.0
1.5,1.5,1.5,1.5,1.5,7.5,1.0
0.0,0.0,0.0,0.0,0.0,5.0,0.0
0.0,0.0,0.0,0.0,0.0,8.5,1.0
3.0,3.0,3.0,2.3333333333333335,3.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0,8.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,3.5,6.75,2.5,2.0,9.5,4.0
0.0,0.0,0.0,0.0,0.0,8.0,0.0
0.5,0.5,0.5,0.5,1.0,9.0,0.0
1.0,1.0,1.0,0.0,1.0,9.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,7.0,0.0
1.0,1.0,0.5,1.0,1.0,9.5,1.0
0.0,0.0,0.0,0.0,0.0,10.0,0.0
2.0,2.0,6.0,1.5,2.0,8.0,2.0
0.5,0.0,0.5,0.0,0.0,7.0,0.0
1.0,1.0,1.0,1.0,1.0,7.5,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0
1.0,1.0,1.0,1.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,2.0,0.0
0.0,0.0,0.0,0.0,0.0,4.5,0.0
0.5,0.5,0.5,0.0,0.0,7.0,0.0
1.5,1.5,1.5,1.5,1.0,1.0,1.0
1.5,1.5,1.0,1.0,1.0,1.0,1.0
1.0,1.0,0.5,0.5,1.0,9.0,0.0
8.0,8.0,8.0,5.0,0.0,7.0,6.0
1.0,1.0,1.0,1.0,1.0,0.0,0.0
10.0,9.25,9.25,8.666666666666666,10.0,9.5,5.0
0.5,0.5,1.0,0.5,0.5,8.0,0.0
1.5,1.5,1.0,0.0,1.0,9.0,4.0
1.0,1.0,1.0,1.5,1.0,8.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,1.0,9.0,0.0
0.0,0.0,0.0,0.0,0.0,9.0,0.0
9.0,8.0,10.0,10.0,9.0,10.0,6.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,0.5,1.0,9.0,0.0
1.0,0.5,1.0,1.0,1.0,9.0,1.0
1.0,1.0,1.0,1.1666666666666667,1.0,6.0,1.0
1.0,1.0,1.0,1.0,1.0,6.0,1.0
1.0,1.0,1.0,1.0,1.0,10.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,1.0,8.5,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,8.0,0.0
1.0,1.0,1.0,1.0,1.0,10.0,0.0
1.0,1.0,1.0,1.0,1.0,8.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0
1.5,1.5,2.0,0.0,0.0,7.0,0.0
0.0,0.0,0.0,0.0,0.0,8.5,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.5,1.0,1.0,9.25,1.0
1.0,1.0,1.0,1.0,1.0,5.0,0.0
0.0,0.0,0.0,0.0,0.0,10.0,0.0
1.5,1.0,1.5,1.0,1.0,8.0,1.0
0.5,0.5,0.5,1.0,1.0,9.0,0.0
0.0,0.0,0.0,0.0,0.0,10.0,0.0
0.5,0.5,0.5,1.0,0.0,1.0,0.0
1.0,1.3333333333333333,0.5,1.5,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,7.5,0.0
0.0,0.0,0.0,0.5,0.0,8.0,0.0
1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,9.0,0.0
0.0,0.0,0.0,0.0,0.0,7.5,0.0
0.0,0.5,0.5,0.0,0.0,8.0,0.0
0.0,0.0,0.0,0.0,0.0,10.0,0.0
2.5,2.5,1.5,2.5,2.5,2.0,2.0
0.0,0.0,0.0,0.0,0.0,5.0,1.0
1.0,1.0,0.5,0.5,1.0,8.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,1.0,8.0,1.0
4.0,3.0,4.0,4.0,4.0,10.0,0.5
0.5,1.5,1.0,0.0,0.0,9.0,0.5
0.5,1.0,0.5,0.0,0.0,8.0,1.0
0.0,0.0,0.0,0.0,0.0,9.0,0.0
1.0,1.0,1.0,0.0,0.0,9.0,0.0
1.5,1.0,1.5,1.5,2.0,7.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
