id,approval,approval_with_runoff,notes
2439,0.0,0.6481164179104477,0.627108220603538
2440,0.0,0.6481164179104477,0.627108220603538
2441,0.0,1.4559000000000002,1.3951416666666667
2442,0.0,0.6481164179104477,0.627108220603538
2443,0.0,0.6481164179104477,0.627108220603538
2444,0.0,0.5440378378378379,0.6116321839080461
2445,0.0,1.4559000000000002,1.3951416666666667
2446,0.0,1.4559000000000002,1.3951416666666667
2447,0.0,0.6481164179104477,0.627108220603538
2448,0.0,3.1355581395348837,2.905597826086957
2449,0.0,0.6481164179104477,0.627108220603538
2450,0.0,0.6481164179104477,0.627108220603538
2451,0.0,0.8180950495049504,0.8488048359240069
2452,0.0,0.8180950495049504,0.8488048359240069
2453,0.0,0.0,0.0
2454,0.0,0.5440378378378379,0.6116321839080461
2455,0.0,0.8180950495049504,0.8488048359240069
2456,0.0,0.8180950495049504,0.8488048359240069
2457,0.0,0.6481164179104477,0.627108220603538
2458,0.0,1.4559000000000002,1.3951416666666667
2459,0.0,0.6481164179104477,0.627108220603538
2460,0.0,1.4559000000000002,1.3951416666666667
2461,0.0,1.0818545454545454,1.134326923076923
2462,0.0,3.1355581395348837,2.905597826086957
2463,0.0,0.6481164179104477,0.627108220603538
2464,0.0,0.6481164179104477,0.627108220603538
2465,0.0,0.6481164179104477,0.627108220603538
2466,0.0,1.4559000000000002,1.3951416666666667
2467,0.0,0.6481164179104477,0.627108220603538
2468,0.0,0.6481164179104477,0.627108220603538
2469,0.0,1.0818545454545454,1.134326923076923
2470,0.0,0.8180950495049504,0.8488048359240069
2471,0.0,0.6481164179104477,0.627108220603538
2472,0.0,0.6481164179104477,0.627108220603538
2473,0.0,0.5440378378378379,0.6116321839080461
2474,0.0,0.8180950495049504,0.8488048359240069
2475,0.0,0.5440378378378379,0.6116321839080461
2476,0.0,0.6481164179104477,0.627108220603538
2477,0.0,0.6481164179104477,0.627108220603538
2478,0.0,0.6481164179104477,0.627108220603538
2479,0.0,0.0,0.0
2480,0.0,0.6481164179104477,0.627108220603538
2481,0.0,0.6481164179104477,0.627108220603538
2482,0.0,0.5440378378378379,0.6116321839080461
2483,0.0,0.0,0.0
2484,0.0,1.4559000000000002,1.3951416666666667
2485,0.0,1.4559000000000002,1.3951416666666667
2486,0.0,1.4559000000000002,1.3951416666666667
2487,0.0,0.6481164179104477,0.627108220603538
2488,0.0,0.6481164179104477,0.627108220603538
2489,0.0,0.6481164179104477,0.627108220603538
2490,0.0,3.1355581395348837,2.905597826086957
2491,0.0,0.8180950495049504,0.8488048359240069
2492,0.0,0.6481164179104477,0.627108220603538
2493,0.0,0.6481164179104477,0.627108220603538
2494,0.0,1.4559000000000002,1.3951416666666667
2495,0.0,1.4559000000000002,1.3951416666666667
2496,0.0,0.5440378378378379,0.6116321839080461
2497,0.0,3.1355581395348837,2.905597826086957
2498,0.0,0.6481164179104477,0.627108220603538
2499,0.0,0.6481164179104477,0.627108220603538
2500,0.0,1.4559000000000002,1.3951416666666667
2501,0.0,0.6481164179104477,0.627108220603538
2502,0.0,0.5440378378378379,0.6116321839080461
2503,0.0,0.6481164179104477,0.627108220603538
2504,0.0,0.8180950495049504,0.8488048359240069
2505,0.0,1.4559000000000002,1.3951416666666667
2506,0.0,0.6481164179104477,0.627108220603538
2507,0.0,3.1355581395348837,2.905597826086957
2508,0.0,0.8180950495049504,0.8488048359240069
2509,0.0,0.8180950495049504,0.8488048359240069
2510,0.0,0.6481164179104477,0.627108220603538
2511,0.0,0.6481164179104477,0.627108220603538
2512,0.0,0.8180950495049504,0.8488048359240069
2513,0.0,0.0,0.0
2514,0.0,0.6481164179104477,0.627108220603538
2515,0.0,0.0,0.0
2516,0.0,1.4559000000000002,1.3951416666666667
