id,Nicolas Dupont-Aignan,Marine Le Pen,Emmanuel Macron,Benoît Hamon,Nathalie Arthaud,Philippe Poutou,Jacques Cheminade,Jean Lassalle,Jean-Luc Mélenchon,François Asselineau,François Fillon
1445,1,1,0,0,0,0,0,0,0,0,1
1446,0,0,0,1,0,0,0,1,0,0,0
1447,0,0,1,1,0,0,0,0,1,0,0
1448,1,0,1,0,0,1,0,1,1,1,0
1449,0,0,1,1,0,0,0,0,1,0,0
1450,0,0,1,0,0,0,0,0,0,0,1
1451,0,0,1,1,0,0,0,0,1,0,0
1452,1,0,0,0,0,0,0,0,0,0,1
1453,0,0,1,1,0,0,0,0,0,0,0
1454,0,0,1,0,0,0,0,0,0,0,1
1455,0,0,1,1,0,0,0,0,0,0,0
1456,0,0,1,1,0,0,0,0,1,0,1
1457,1,0,1,0,0,0,0,0,0,0,1
1458,0,0,0,0,1,1,0,0,1,0,0
1459,0,0,1,1,0,0,0,0,1,0,0
1460,1,0,1,0,0,0,0,0,1,0,1
1461,0,0,1,0,0,0,0,0,1,0,0
1462,0,0,0,0,0,0,0,0,0,0,0
1463,1,0,0,0,0,0,0,0,1,0,0
1464,0,0,1,1,0,0,0,0,0,0,0
1465,0,0,0,1,1,0,0,0,0,0,0
1466,0,0,1,0,0,0,0,0,0,0,0
1467,0,0,1,0,0,0,0,0,0,0,1
1468,0,0,0,1,0,0,0,0,0,0,0
1469,0,0,0,0,0,0,0,1,0,0,0
1470,0,0,1,1,0,0,0,0,1,0,0
1471,0,1,0,0,0,0,0,0,0,0,0
1472,0,0,1,1,0,0,0,0,1,0,0
1473,1,0,1,0,0,0,0,0,0,0,1
1474,0,0,1,1,0,0,0,0,0,0,0
1475,0,0,1,0,0,0,0,0,0,0,1
1476,0,0,1,0,0,0,0,0,0,0,1
1477,0,0,1,0,0,0,0,0,0,0,1
1478,1,0,1,0,0,0,0,0,0,0,1
1479,0,1,1,0,0,0,0,0,0,0,1
1480,0,0,1,0,0,0,0,0,0,0,1
1481,0,0,1,1,0,0,0,0,1,0,0
1482,0,1,1,0,0,0,0,0,0,0,1
1483,0,1,1,0,0,0,0,0,0,0,0
1484,0,0,1,1,0,0,0,0,0,0,0
1485,0,0,1,1,0,0,0,0,1,0,0
1486,0,0,1,0,0,0,0,0,1,0,0
1487,0,0,1,0,0,1,0,0,1,1,0
1488,0,0,0,1,1,1,0,0,1,0,0
1489,0,0,1,1,0,0,0,0,1,1,0
1490,0,0,1,1,0,0,0,1,0,0,0
1491,0,0,1,1,0,0,0,0,1,0,0
1492,0,0,1,1,0,0,0,0,1,0,0
1493,1,1,1,0,0,0,0,0,1,0,1
1494,0,0,1,1,0,0,0,0,1,0,0
