id,Nicolas Dupont-Aignan,Marine Le Pen,Emmanuel Macron,Benoît Hamon,Nathalie Arthaud,Philippe Poutou,Jacques Cheminade,Jean Lassalle,Jean-Luc Mélenchon,François Asselineau,François Fillon
129,0,0,0,1,1,1,0,0,1,0,0
130,1,0,0,0,0,0,0,0,0,0,1
131,0,1,0,0,0,0,0,1,1,0,1
132,0,0,1,0,0,0,0,0,1,0,0
133,1,1,0,0,0,0,0,0,0,0,1
134,0,0,0,1,0,0,0,0,1,0,0
135,0,0,1,1,0,0,0,0,0,0,1
136,0,0,1,0,0,0,0,0,0,0,1
137,1,0,1,0,0,0,0,0,0,0,0
138,1,0,0,0,0,0,0,0,0,0,1
139,0,0,1,1,0,1,0,0,1,0,0
140,0,0,1,1,0,0,0,0,1,0,0
141,0,0,0,1,0,0,0,0,1,0,0
142,0,1,1,0,0,0,0,0,0,0,1
143,0,0,1,1,0,0,0,0,1,0,0
144,0,0,1,1,0,0,0,0,0,0,0
145,0,0,1,0,0,0,0,0,0,0,1
146,0,0,0,0,1,1,0,0,1,0,0
147,0,0,0,1,1,1,0,0,1,0,0
148,0,0,0,0,0,0,0,0,0,0,0
149,0,0,0,0,0,0,0,0,0,0,0
150,0,0,1,0,0,0,0,0,0,0,1
151,0,0,1,0,0,0,0,0,1,0,0
152,0,0,1,0,0,0,0,0,0,0,0
153,0,0,1,1,0,0,0,0,1,0,0
154,0,0,1,0,0,0,0,0,0,0,0
155,0,0,1,1,0,0,0,0,0,0,0
156,0,0,1,1,0,0,0,0,0,0,0
157,0,0,1,0,0,1,0,0,1,0,1
158,0,0,0,1,1,1,0,0,1,0,0
159,1,0,0,0,0,0,0,0,0,0,1
160,0,0,1,0,0,0,0,0,1,0,0
161,0,0,1,1,1,0,0,0,0,1,0
162,0,0,1,1,0,0,0,0,1,0,0
163,1,1,0,0,0,0,0,0,1,0,1
164,0,0,0,0,0,0,0,0,1,0,0
165,0,0,0,0,0,0,0,0,1,0,0
166,0,1,1,0,0,0,0,0,1,0,1
167,0,0,1,1,0,0,0,0,1,0,0
168,1,1,1,0,0,0,0,0,1,0,0
169,0,0,1,0,0,0,0,0,0,0,0
170,1,1,0,0,0,0,0,0,0,0,0
171,0,0,1,1,0,0,0,0,0,0,0
172,1,1,1,0,1,1,1,1,0,1,1
