id,approval,scores_3_pos,scores_4_pos,scores_4_neg,scores_3_neg,majority_judgement_7,majority_judgement_5,borda,irv_1,irv_2,notes,condorcet
0,0.33302518427518424,0.0,0.3359445471349353,0.0,0.0,0.3398602719033233,0.0,0.3330840611353712,0.0,0.0,0.33476997041420115,0.33567716827279465
1,0.0,0.0,0.3359445471349353,0.34121903881700555,0.0,0.0,0.33036179450072356,0.0,0.0,0.3445067264573991,0.33476997041420115,0.33567716827279465
2,0.0,0.3288649122807018,0.0,0.0,0.33463396226415093,0.3398602719033233,0.0,0.0,0.32826569506726455,0.0,0.33476997041420115,0.33567716827279465
3,0.0,0.0,11.980125,12.979433333333333,0.0,0.0,12.67157894736842,0.0,0.0,10.128125,12.901432432432431,12.907689189189188
4,2.2929833333333334,0.0,0.0,2.230652380952381,0.0,0.0,2.374098360655738,0.0,2.2933271604938272,0.0,2.297068,2.270930830039526
5,0.0,2.286913461538462,0.0,0.0,2.1431238095238094,2.23017578125,0.0,0.0,0.0,2.215340909090909,2.297068,2.270930830039526
6,0.48458050847457623,0.0,0.0,0.5726220588235295,0.0,0.427545045045045,0.0,0.0,0.5718907407407406,0.0,0.5188619565217392,0.5135317204301075
7,2.2929833333333334,0.0,0.0,0.0,2.1431238095238094,0.0,2.374098360655738,0.0,0.0,2.215340909090909,2.297068,2.270930830039526
8,0.0,0.3288649122807018,0.0,0.0,0.33463396226415093,0.3398602719033233,0.0,0.0,0.0,0.3445067264573991,0.33476997041420115,0.33567716827279465
9,2.2929833333333334,0.0,0.0,0.0,2.1431238095238094,0.0,2.374098360655738,0.0,0.0,2.215340909090909,2.297068,2.270930830039526
10,0.48458050847457623,0.0,0.5556,0.0,0.0,0.0,0.633578947368421,0.4596928571428571,0.0,0.0,0.5188619565217392,0.5135317204301075
11,0.0,0.0,0.3359445471349353,0.34121903881700555,0.0,0.3398602719033233,0.0,0.0,0.32826569506726455,0.0,0.33476997041420115,0.33567716827279465
12,0.0,0.3288649122807018,0.0,0.0,0.33463396226415093,0.0,0.33036179450072356,0.0,0.32826569506726455,0.0,0.33476997041420115,0.33567716827279465
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.771875,0.0,0.7626315789473684,0.0,0.0,0.6899038461538461,0.0,0.7601562500000001,0.0,0.0,0.7517708333333334,0.7521354166666667
15,0.33302518427518424,0.0,0.0,0.0,0.33463396226415093,0.3398602719033233,0.0,0.0,0.0,0.0,0.33476997041420115,0.33567716827279465
16,0.0,0.0,0.3359445471349353,0.34121903881700555,0.0,0.0,0.33036179450072356,0.0,0.0,0.3445067264573991,0.33476997041420115,0.33567716827279465
17,0.33302518427518424,0.0,0.3359445471349353,0.0,0.0,0.0,0.33036179450072356,0.0,0.32826569506726455,0.0,0.33476997041420115,0.33567716827279465
18,0.0,0.0,0.8581090909090909,0.8336869565217391,0.0,1.1684999999999999,0.0,0.0,1.6897333333333333,0.0,0.8706222222222222,0.8710444444444444
19,0.0,0.0,0.8581090909090909,0.8336869565217391,0.0,0.0,0.6974117647058823,0.7923,0.0,0.0,0.8706222222222222,0.8710444444444444
20,0.0,0.6953999999999999,0.0,0.0,0.837381818181818,0.0,0.6974117647058823,0.0,0.0,0.6383999999999999,0.8706222222222222,0.8710444444444444
21,0.0,0.0,1.72776,1.4624055555555555,0.0,2.673541666666667,0.0,0.0,1.30481875,0.0,2.0819548387096773,2.082964516129032
22,0.33302518427518424,0.0,0.0,0.34121903881700555,0.0,0.3398602719033233,0.0,0.0,0.0,0.3445067264573991,0.33476997041420115,0.33567716827279465
23,0.33302518427518424,0.0,0.0,0.0,0.33463396226415093,0.0,0.33036179450072356,0.3330840611353712,0.0,0.0,0.33476997041420115,0.33567716827279465
24,3.2338703703703704,0.0,0.0,0.0,2.5966181818181817,0.0,3.196869565217391,0.0,2.94730625,0.0,3.037154166666667,3.0386270833333335
25,5.903300000000001,0.0,4.9473,0.0,0.0,12.24875,0.0,0.0,0.0,3.7177777777777776,6.1602250000000005,6.1632125
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.3288649122807018,0.0,0.0,0.33463396226415093,0.3398602719033233,0.0,0.0,0.0,0.3445067264573991,0.33476997041420115,0.33567716827279465
28,1.0428888888888888,0.0,0.0,0.0,0.837381818181818,1.1684999999999999,0.0,0.0,1.6897333333333333,0.0,0.8706222222222222,0.8710444444444444
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,2.4531702127659574,2.230652380952381,0.0,2.23017578125,0.0,0.0,0.0,2.215340909090909,2.297068,2.270930830039526
31,0.33302518427518424,0.0,0.0,0.34121903881700555,0.0,0.0,0.33036179450072356,0.3330840611353712,0.0,0.0,0.33476997041420115,0.33567716827279465
32,0.0,0.0,0.3359445471349353,0.34121903881700555,0.0,0.0,0.33036179450072356,0.0,0.0,0.3445067264573991,0.33476997041420115,0.33567716827279465
33,0.0,0.0,11.980125,12.979433333333333,0.0,0.0,12.67157894736842,0.0,11.877730769230768,0.0,12.901432432432431,12.907689189189188
34,0.33302518427518424,0.0,0.0,0.34121903881700555,0.0,0.0,0.33036179450072356,0.0,0.0,0.3445067264573991,0.33476997041420115,0.33567716827279465
35,2.2929833333333334,0.0,0.0,2.230652380952381,0.0,0.0,2.374098360655738,2.3042559523809527,0.0,0.0,2.297068,2.270930830039526
