id,approval,scores_3,scores_4,scores_2,scores_1,borda,irv_2,irv_1,notes,condorcet
36393,0.3948981818181818,0.0,0.0,0.4082514285714286,0.0,0.0,0.0,0.3640775510204082,0.3853545617173525,0.38397651245551606
36394,1.178175,0.0,0.738164705882353,0.0,0.0,1.00648,0.0,0.0,0.9737625000000001,0.9459272727272728
36395,0.0,0.35192,0.0,0.0,0.36964102564102563,0.0,0.0,0.3640775510204082,0.3853545617173525,0.38397651245551606
36396,0.0,0.0,1.2084738007380076,1.168428880866426,0.0,0.0,0.0,1.218969230769231,1.190656954612006,1.1875499999999999
36397,0.36241571815718154,0.0,0.0,0.36405296551724137,0.0,0.0,0.0,0.3794259067357513,0.36398166849615804,0.3648266886326194
36398,0.0,0.0,0.738164705882353,0.8858285714285714,0.0,1.00648,0.0,0.0,0.9737625000000001,0.9459272727272728
36399,0.0,0.0,0.36485136612021857,0.36405296551724137,0.0,0.35173267651888335,0.0,0.0,0.36398166849615804,0.3648266886326194
36400,0.36241571815718154,0.0,0.0,0.0,0.3613134328358209,0.35173267651888335,0.0,0.0,0.36398166849615804,0.3648266886326194
36401,5.6945125,0.0,0.0,0.0,5.916,0.0,0.0,4.98916,5.997687610619469,6.0083123893805315
36402,1.1826079326923078,0.0,1.2084738007380076,0.0,0.0,0.0,1.0667038167938931,0.0,1.190656954612006,1.1875499999999999
36403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36404,0.0,0.0,6.203100000000001,6.130336363636364,0.0,6.633618181818183,0.0,0.0,5.997687610619469,6.0083123893805315
36405,0.0,0.0,0.36485136612021857,0.36405296551724137,0.0,0.35173267651888335,0.0,0.0,0.36398166849615804,0.3648266886326194
36406,0.0,0.3801497076023391,0.0,0.0,0.3613134328358209,0.0,0.0,0.3794259067357513,0.36398166849615804,0.3648266886326194
36407,1.1826079326923078,0.0,0.0,1.168428880866426,0.0,1.313347,0.0,0.0,1.190656954612006,1.1875499999999999
36408,1.1826079326923078,0.0,0.0,0.0,1.2229812734082397,1.313347,0.0,0.0,1.190656954612006,1.1875499999999999
36409,1.7709214285714285,0.0,0.0,1.0873866666666667,0.0,0.0,2.8168800000000003,0.0,1.4636678571428572,1.4662607142857143
36410,0.0,0.0,1.2084738007380076,1.168428880866426,0.0,0.0,0.0,1.218969230769231,1.190656954612006,1.1875499999999999
36411,1.1826079326923078,0.0,1.2084738007380076,0.0,0.0,0.0,1.0667038167938931,0.0,1.190656954612006,1.1875499999999999
36412,0.36241571815718154,0.0,0.0,0.0,0.3613134328358209,0.0,0.0,0.3794259067357513,0.36398166849615804,0.3648266886326194
36413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36414,0.36241571815718154,0.0,0.0,0.0,0.3613134328358209,0.0,0.0,0.3794259067357513,0.36398166849615804,0.3648266886326194
36415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36416,0.0,0.3801497076023391,0.0,0.0,0.3613134328358209,0.0,0.36233895071542127,0.0,0.36398166849615804,0.3648266886326194
36417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36418,0.0,0.3801497076023391,0.0,0.0,0.3613134328358209,0.0,0.36233895071542127,0.0,0.36398166849615804,0.3648266886326194
36419,0.3948981818181818,0.0,0.0,0.4082514285714286,0.0,0.3740774193548387,0.0,0.0,0.3853545617173525,0.38397651245551606
36420,0.36241571815718154,0.0,0.0,0.36405296551724137,0.0,0.0,0.36233895071542127,0.0,0.36398166849615804,0.3648266886326194
36421,0.0,0.0,0.36485136612021857,0.36405296551724137,0.0,0.35173267651888335,0.0,0.0,0.36398166849615804,0.3648266886326194
36422,0.0,0.3801497076023391,0.0,0.0,0.3613134328358209,0.0,0.0,0.3794259067357513,0.36398166849615804,0.3648266886326194
36423,0.0,0.3801497076023391,0.0,0.0,0.3613134328358209,0.0,0.0,0.3794259067357513,0.36398166849615804,0.3648266886326194
36424,0.36241571815718154,0.0,0.0,0.0,0.3613134328358209,0.0,0.36233895071542127,0.0,0.36398166849615804,0.3648266886326194
36425,0.0,1.107127777777778,0.0,0.0,1.2229812734082397,1.313347,0.0,0.0,1.190656954612006,1.1875499999999999
36426,1.1826079326923078,0.0,0.0,0.0,1.2229812734082397,0.0,1.0667038167938931,0.0,1.190656954612006,1.1875499999999999
36427,0.0,0.3801497076023391,0.0,0.0,0.3613134328358209,0.35173267651888335,0.0,0.0,0.36398166849615804,0.3648266886326194
36428,0.0,0.0,0.36485136612021857,0.36405296551724137,0.0,0.0,0.0,0.3794259067357513,0.36398166849615804,0.3648266886326194
36429,0.36241571815718154,0.0,0.36485136612021857,0.0,0.0,0.0,0.0,0.3794259067357513,0.36398166849615804,0.3648266886326194
36430,0.0,0.3801497076023391,0.0,0.0,0.3613134328358209,0.0,0.36233895071542127,0.0,0.36398166849615804,0.3648266886326194
36431,0.36241571815718154,0.0,0.36485136612021857,0.0,0.0,0.35173267651888335,0.0,0.0,0.36398166849615804,0.3648266886326194
36432,1.1826079326923078,0.0,0.0,0.0,1.2229812734082397,0.0,1.0667038167938931,0.0,1.190656954612006,1.1875499999999999
36433,1.1826079326923078,0.0,0.0,0.0,1.2229812734082397,0.0,0.0,1.218969230769231,1.190656954612006,1.1875499999999999
36434,0.0,0.0,0.3804842105263158,0.4082514285714286,0.0,0.0,0.0,0.3640775510204082,0.3853545617173525,0.38397651245551606
36435,0.3948981818181818,0.0,0.3804842105263158,0.0,0.0,0.0,0.0,0.3640775510204082,0.3853545617173525,0.38397651245551606
36436,1.1826079326923078,0.0,0.0,0.0,1.2229812734082397,1.313347,0.0,0.0,1.190656954612006,1.1875499999999999
36437,0.0,0.3801497076023391,0.0,0.0,0.3613134328358209,0.0,0.36233895071542127,0.0,0.36398166849615804,0.3648266886326194
36438,0.36241571815718154,0.0,0.0,0.0,0.3613134328358209,0.0,0.36233895071542127,0.0,0.36398166849615804,0.3648266886326194
36439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36440,1.1826079326923078,0.0,0.0,0.0,1.2229812734082397,0.0,0.0,1.218969230769231,1.190656954612006,1.1875499999999999
36441,0.0,0.35192,0.0,0.0,0.36964102564102563,0.0,0.0,0.3640775510204082,0.3853545617173525,0.38397651245551606
