id,Polling Station,Approval of Besancenot,Approval of Buffet,Approval of Schivardi,Approval of Bayrou,Approval of Bové,Approval of Voynet,Approval of Villiers,Approval of Royal,Approval of Nihous,Approval of Le Pen,Approval of Laguiller,Approval of Sarkozy,Score of Besancenot,Score of Buffet,Score of Schivardi,Score of Bayrou,Score of Bové,Score of Voynet,Score of Villiers,Score of Royal,Score of Nihous,Score of Le Pen,Score of Laguiller,Score of Sarkozy
1484,Illkirch10,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,2
1485,Illkirch10,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,,0,0,1,,0,1,0
1486,Illkirch10,0,0,0,0,0,0,0,0,0,0,0,1,,,,2,,,,0,,1,,2
1487,Illkirch10,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,0,,0,,2
1488,Illkirch10,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,2
1489,Illkirch10,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,2,,2
1490,Illkirch10,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,2
1491,Illkirch10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
1492,Illkirch10,1,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,1,1,0,0,0,0,2,0
1493,Illkirch10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1494,Illkirch10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1495,Illkirch10,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,
1496,Illkirch10,0,0,0,1,0,0,0,0,0,0,0,1,,,,2,,,,,,,,1
1497,Illkirch10,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,2,0,2,0,2,0,0,0,0
1498,Illkirch10,0,0,0,1,0,0,0,0,0,0,0,0,,,,2,,,,0,,,,1
1499,Illkirch10,0,0,0,0,1,1,0,0,0,0,0,1,,,,,1,,,,,,,2
1500,Illkirch10,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,1,0,0,0,2
1501,Illkirch10,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,2,0,0,0,0
1502,Illkirch10,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,2,,,,
1503,Illkirch10,1,0,0,0,0,0,0,1,0,0,0,0,2,,,1,,1,,2,,,,
1504,Illkirch10,0,0,0,0,0,0,0,0,0,0,0,0,,1,,1,,1,1,2,1,,1,
1505,Illkirch10,0,1,0,0,0,1,0,1,0,0,0,0,,1,,1,,1,,2,,,,
1506,Illkirch10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,0,0,1,1
1507,Illkirch10,1,1,0,1,0,0,0,0,0,0,0,0,2,2,,2,1,1,0,0,,0,1,
1508,Illkirch10,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,2,0,0,1,
1509,Illkirch10,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1
1510,Illkirch10,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,1
1511,Illkirch10,0,0,0,1,0,0,0,1,0,0,0,0,,,,2,,,,1,,,,
1512,Illkirch10,0,0,0,1,0,0,0,0,0,0,0,1,,,,2,,,,1,,,,2
1513,Illkirch10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,,1,0,0,2,0,0,0,0
1514,Illkirch10,1,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,
1515,Illkirch10,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,2,0,1,0,1,0
1516,Illkirch10,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,2,,,,
1517,Illkirch10,0,0,0,1,0,0,0,1,0,0,1,0,,,,2,,,,1,,,1,
1518,Illkirch10,0,0,0,0,0,0,0,1,0,0,0,0,,,,1,,,,2,,,,1
1519,Illkirch10,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,2,0,2
1520,Illkirch10,0,1,0,0,0,1,0,0,0,0,1,0,,,,,,2,,1,,,2,
1521,Illkirch10,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,2,0,0,0,0
1522,Illkirch10,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,2,1,1,0,1,0,0,0,0
1523,Illkirch10,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,2
1524,Illkirch10,1,0,0,1,0,0,0,1,0,0,0,1,1,,,2,,,,0,0,0,0,1
1525,Illkirch10,0,0,0,1,0,0,0,0,0,0,0,0,,,,2,,,,1,,,,1
1526,Illkirch10,0,0,0,1,0,0,0,0,0,0,0,1,,,,1,,,,,,,,2
1527,Illkirch10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2
1528,Illkirch10,0,0,0,1,0,0,0,1,0,0,0,0,,,,2,,1,,1,,0,,0
1529,Illkirch10,1,1,0,0,1,1,0,1,0,0,0,0,2,2,0,1,2,2,0,1,0,0,2,0
1530,Illkirch10,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,0,1,1,1,0,0,1,0
1531,Illkirch10,1,1,0,1,1,1,0,1,0,0,1,0,1,1,1,2,1,1,0,1,0,0,2,0
1532,Illkirch10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1533,Illkirch10,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0
1534,Illkirch10,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0,1,2
1535,Illkirch10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
1536,Illkirch10,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,2,1,1,0,0,0,1,0,2
1537,Illkirch10,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,2
1538,Illkirch10,0,0,0,0,0,0,1,0,1,1,0,0,,,,,,,1,,2,1,,
1539,Illkirch10,0,0,0,1,1,0,0,0,0,0,0,0,1,1,,2,1,1,1,1,,0,0,1
1540,Illkirch10,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,2,1,0,0,1,0,0,0,0
1541,Illkirch10,1,0,0,1,0,0,0,1,0,0,0,0,1,,,2,0,,0,2,,0,1,1
1542,Illkirch10,1,0,0,1,0,0,0,1,0,0,1,0,2,1,0,2,2,1,0,2,0,0,2,0
1543,Illkirch10,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,2,,,,
1544,Illkirch10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2
1545,Illkirch10,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,2,0,2,0,0,0,0,0,0
1546,Illkirch10,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,1,2,2,0,2
1547,Illkirch10,0,0,0,1,0,0,0,0,0,0,0,1,,0,,1,0,,,0,,0,,1
1548,Illkirch10,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,2,0,0,1,0
1549,Illkirch10,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,2,1,0,0,0
1550,Illkirch10,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,2
1551,Illkirch10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,2
1552,Illkirch10,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,1,1,0,0,0,0,0,0
1553,Illkirch10,0,0,0,0,0,1,0,1,0,0,0,0,,,,,,2,,1,,,,
1554,Illkirch10,1,0,0,0,0,0,0,0,0,0,0,1,2,,,,,,,,,,,2
1555,Illkirch10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,2
1556,Illkirch10,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,1
1557,Illkirch10,0,0,0,0,0,0,0,0,0,1,0,0,,,,2,,,,,,2,,1
1558,Illkirch10,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,2,0,2,0,0,0,1
1559,Illkirch10,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0
1560,Illkirch10,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,2
1561,Illkirch10,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1
1562,Illkirch10,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,2,0,1,0,1,0,0,0,1
1563,Illkirch10,0,0,0,1,0,0,0,0,0,1,0,1,2,1,0,2,1,,1,0,0,1,2,2
1564,Illkirch10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,0,0,,,,,2,,
1565,Illkirch10,1,0,0,0,1,0,0,1,0,0,0,0,2,1,0,1,2,2,0,2,0,0,2,0
1566,Illkirch10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1567,Illkirch10,0,1,0,0,0,1,0,0,0,0,0,1,,1,,,,1,,,,,,2
1568,Illkirch10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
1569,Illkirch10,0,0,0,0,0,0,0,0,0,0,0,1,,,,0,,,,,,1,,2
1570,Illkirch10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
1571,Illkirch10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2
1572,Illkirch10,0,0,0,1,0,0,0,1,0,0,0,0,,,,1,,,,2,,,,1
1573,Illkirch10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,2,0,0,1,0
1574,Illkirch10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,2,0,0,1,0
1575,Illkirch10,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,2,1,1,0,2,0,0,1,0
1576,Illkirch10,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,2,1,,0,0,0,1,1,1
1577,Illkirch10,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,1,2
1578,Illkirch10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,2
1579,Illkirch10,0,0,0,0,0,0,1,0,0,0,0,1,,,,,,,1,0,,1,,2
1580,Illkirch10,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,2,0,1,0,2,0,0,1,1
1581,Illkirch10,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,2
1582,Illkirch10,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,2,,
1583,Illkirch10,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,1,0,1,1,0,1,0,2
1584,Illkirch10,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0
1585,Illkirch10,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1
1586,Illkirch10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1587,Illkirch10,1,1,0,0,1,1,0,1,0,0,0,0,2,2,0,0,2,2,0,1,0,0,1,0
1588,Illkirch10,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,2,0,0,0,0,0,2,2,2
1589,Illkirch10,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,2,1,0,1,2
1590,Illkirch10,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,2,0,0,1,1,0,0,0,2
1591,Illkirch10,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1592,Illkirch10,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,2,1,1,1,1,0,0,1,1
1593,Illkirch10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
1594,Illkirch10,0,0,0,1,0,0,0,1,0,0,0,0,1,,0,1,1,,0,1,0,0,,0
1595,Illkirch10,1,0,0,1,0,0,0,1,0,0,0,0,2,1,,1,1,1,0,1,0,0,1,0
1596,Illkirch10,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
1597,Illkirch10,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,1,0,0,0,2
1598,Illkirch10,0,0,0,1,0,0,0,0,0,0,0,1,,,,2,1,,,1,,,,1
1599,Illkirch10,0,0,0,0,1,0,0,0,0,0,0,1,,,,1,2,,,2,2,2,1,2
1600,Illkirch10,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,0,0,0,2
1601,Illkirch10,1,0,0,0,0,0,0,0,0,0,0,0,1,,,0,,,,0,,,,0
1602,Illkirch10,0,0,0,0,0,0,0,0,0,0,1,0,1,2,,1,,2,,1,,,2,1
1603,Illkirch10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
1604,Illkirch10,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2
1605,Illkirch10,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,2,0,0,0,0,1,0
1606,Illkirch10,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,1,,2,,0,,0
1607,Illkirch10,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,
1608,Illkirch10,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,2,0,0,0,0
1609,Illkirch10,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,2,1,0,2,0,2
1610,Illkirch10,0,0,0,0,0,0,0,1,0,0,0,1,,,,0,,,,1,,,,2
1611,Illkirch10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,0,1,0,1
1612,Illkirch10,0,0,0,1,0,0,0,1,0,0,0,0,,,,2,,,,1,,,,
1613,Illkirch10,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,1,0,0
1614,Illkirch10,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,2,0,2
1615,Illkirch10,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1
1616,Illkirch10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,1
1617,Illkirch10,1,1,0,0,1,1,0,1,1,0,1,0,2,2,0,0,2,2,0,2,2,0,2,0
1618,Illkirch10,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,2,0,1,1,0,0,1,1,2
1619,Illkirch10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,0,0,0,1
1620,Illkirch10,1,0,0,0,1,0,0,1,0,0,0,0,2,0,0,1,1,1,0,2,0,0,1,0
1621,Illkirch10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,1,2,0,0,1,1
1622,Illkirch10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,2,0,0,0,0
1623,Illkirch10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,2,0,0,1,0
1624,Illkirch10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0
1625,Illkirch10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1626,Illkirch10,0,0,0,1,0,0,0,0,0,0,0,1,,,,2,,,,,,,,1
1627,Illkirch10,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,2,0,2,1,1,1,1,0,2
1628,Illkirch10,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,1
1629,Illkirch10,1,0,0,1,0,0,0,0,0,0,0,0,2,2,0,2,1,1,1,0,0,0,2,2
1630,Illkirch10,0,0,0,1,0,0,0,0,0,0,0,1,,,,2,,1,,1,,,,2
1631,Illkirch10,1,0,0,0,0,0,0,0,0,1,0,0,2,1,,0,1,0,0,1,1,2,1,1
1632,Illkirch10,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,2,,,,
1633,Illkirch10,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,2,0,1,0,1,0,0,0,2
1634,Illkirch10,0,0,0,0,0,1,0,1,0,0,1,0,,1,,1,1,2,,2,,,2,
1635,Illkirch10,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,0,,0,,2
1636,Illkirch10,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,,,1,,2,,,,
1637,Illkirch10,0,0,0,0,0,0,0,1,0,1,0,0,0,0,,2,2,0,0,2,0,2,0,0
1638,Illkirch10,0,0,0,1,0,0,0,0,0,0,0,1,,,,1,,,,,,,,2
1639,Illkirch10,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,2,0,0,1,0
1640,Illkirch10,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,2,2,0,0,1,2,0,2,1
1641,Illkirch10,0,0,0,0,0,0,0,0,0,1,0,1,,,,,,,1,,,1,,2
1642,Illkirch10,0,0,0,1,0,0,0,0,0,0,0,0,2,1,1,2,1,1,0,2,1,0,1,0
1643,Illkirch10,0,0,0,1,1,0,0,1,0,0,0,0,,,,2,,,,1,,,,1
1644,Illkirch10,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,2,,2,0,1,0,0,2,2
1645,Illkirch10,0,0,0,1,0,0,0,1,0,0,0,1,,,,2,,,,1,,0,,1
1646,Illkirch10,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,2
1647,Illkirch10,1,0,0,1,1,0,0,1,0,0,0,0,2,1,1,2,2,1,0,2,1,0,1,0
1648,Illkirch10,1,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,0,1,0,1,1,0,0,2
1649,Illkirch10,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,2,0,1,0,0,0,1,2,0
1650,Illkirch10,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,1,1,0,2
1651,Illkirch10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,2,0,1
1652,Illkirch10,1,0,0,1,1,0,0,1,0,0,0,0,1,,,1,2,,0,2,1,0,,0
1653,Illkirch10,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,2,0,0,1,0
1654,Illkirch10,1,0,0,0,0,0,0,1,0,0,1,0,1,,,,,,,2,,,1,
1655,Illkirch10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1656,Illkirch10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
1657,Illkirch10,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,2,1,1,0,2,0,0,0,0
1658,Illkirch10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,1,0,0,0,2
1659,Illkirch10,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,2,0,2,0,0,0,0
1660,Illkirch10,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,2,,1
1661,Illkirch10,0,0,0,0,0,0,0,0,0,1,0,1,,,,,,,,,,2,,1
1662,Illkirch10,0,0,0,0,0,0,0,0,0,0,0,1,,,,1,,,,0,,0,0,1
1663,Illkirch10,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,2,1,0,0,1,0,0,0,2
1664,Illkirch10,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,0,2,,0,1,0
1665,Illkirch10,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,2,1,0,0,0
1666,Illkirch10,1,1,0,1,1,1,0,1,0,0,1,0,1,1,0,1,1,1,0,2,0,0,1,0
1667,Illkirch10,0,0,0,0,1,0,1,0,0,0,0,1,,,,1,1,,2,,,1,,2
1668,Illkirch10,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,2,0,2,0,0,2,0
1669,Illkirch10,1,0,0,1,0,0,1,1,1,0,1,1,1,0,0,1,0,0,1,1,2,0,1,1
1670,Illkirch10,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,2,1,2,0,2,0,0,1,0
1671,Illkirch10,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0,2
1672,Illkirch10,0,0,0,1,0,0,0,1,0,0,0,0,,,,,,,,2,,,,
1673,Illkirch10,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,2,,2,0,2,0,0,1,0
1674,Illkirch10,0,0,0,0,0,0,0,0,0,1,0,1,,,,,,,,,,2,,2
1675,Illkirch10,1,0,0,1,1,0,0,0,0,0,0,0,2,,,2,1,1,1,1,,,,
1676,Illkirch10,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,2,0,1,0,2,0,0,1,0
1677,Illkirch10,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,2,1,2,0,2,0,0,0,0
1678,Illkirch10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,2,1,0
1679,Illkirch10,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,1,0,2
1680,Illkirch10,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,2,0,1,0,2,1,0,1,2
1681,Illkirch10,0,0,1,0,0,0,1,0,0,0,0,1,1,0,,0,1,0,2,0,1,1,0,2
1682,Illkirch10,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,1,2
1683,Illkirch10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
1684,Illkirch10,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2
1685,Illkirch10,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,1,0,1,1,0,1,1,1
1686,Illkirch10,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,1,,2,,2
1687,Illkirch10,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,1,0,0,1
1688,Illkirch10,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,2,0,2
1689,Illkirch10,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,2,0,1,0,1,0,0,1,2
1690,Illkirch10,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,2
1691,Illkirch10,1,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,1,1
1692,Illkirch10,0,0,0,0,0,1,0,1,0,1,0,1,1,0,1,2,1,2,1,1,,2,1,1
1693,Illkirch10,0,0,0,0,0,0,1,0,0,0,0,1,,,,,,,1,,,1,,2
1694,Illkirch10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2,0,2
1695,Illkirch10,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,2,1,1,2,0,2
1696,Illkirch10,1,0,0,0,1,0,1,0,0,1,1,0,2,2,1,0,1,1,2,0,1,2,1,0
1697,Illkirch10,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,2,0,0,0,0
1698,Illkirch10,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,2
1699,Illkirch10,0,0,0,1,0,0,0,0,0,0,0,0,1,,,2,,,,1,,,,0
1700,Illkirch10,1,1,0,0,0,0,0,1,0,0,0,0,2,2,0,1,1,1,0,2,0,0,1,0
1701,Illkirch10,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,,0,0,1
1702,Illkirch10,0,0,0,0,0,0,0,0,0,1,0,1,,,,,,,,,2,2,,2
1703,Illkirch10,0,0,0,0,0,0,0,0,0,0,0,1,,,,,2,,,1,2,,,2
1704,Illkirch10,0,0,0,1,0,0,0,0,1,0,0,0,2,1,2,2,1,0,0,2,2,1,2,0
1705,Illkirch10,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1706,Illkirch10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,2,0,2
1707,Illkirch10,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,2,0,0,1,1,1,1,0,2
1708,Illkirch10,0,0,0,1,0,0,0,1,0,0,0,0,,,,0,2,,0,0,,2,,2
1709,Illkirch10,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,1
1710,Illkirch10,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,2,0,1,0,2,0,0,0,0
1711,Illkirch10,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1712,Illkirch10,0,0,0,1,0,0,0,0,0,0,0,1,0,,,1,,,,,,0,0,2
1713,Illkirch10,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,1,1,1
1714,Illkirch10,0,0,0,1,0,0,0,0,0,0,0,1,,,,1,,,1,,,,,2
1715,Illkirch10,1,1,0,1,1,1,0,1,0,0,0,0,1,1,0,2,1,1,0,2,0,0,1,0
1716,Illkirch10,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,2
1717,Illkirch10,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,2,0,2
1718,Illkirch10,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1719,Illkirch10,0,0,0,0,0,0,0,0,0,1,0,1,,,,,,,,,,1,,2
1720,Illkirch10,0,0,0,0,0,0,0,0,0,1,0,1,,,,1,,,,,,1,,2
1721,Illkirch10,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,,,,,,,,2
1722,Illkirch10,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0
1723,Illkirch10,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,1
1724,Illkirch10,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,2
1725,Illkirch10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
1726,Illkirch10,1,0,0,1,0,0,0,0,0,0,1,0,2,1,0,1,0,0,0,1,0,0,2,0
1727,Illkirch10,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,1,1
1728,Illkirch10,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,,0,,0,0,0,0
1729,Illkirch10,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,2
1730,Illkirch10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
1731,Illkirch10,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,1,0,2,0,0,0,0
1732,Illkirch10,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,2
