id,approval,scores_1,scores_2,scores_3,scores_4
1,0.34610232558139536,0.37365000000000004,0.0,0.0,0.0
2,0.5390258823529411,0.522875,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,
4,0.34610232558139536,0.37365000000000004,0.0,0.0,0.0
5,0.8918,0.8297573529411765,0.0,0.0,0.0
6,0.8918,0.8297573529411765,0.0,0.0,0.0
7,0.5390258823529411,0.522875,0.0,0.0,0.0
8,1.950975,2.612416666666667,0.0,0.0,0.0
9,0.34610232558139536,0.37365000000000004,0.0,0.0,0.0
10,1.950975,2.612416666666667,0.0,0.0,0.0
11,6.230250000000001,5.0055000000000005,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,
13,0.8918,0.8297573529411765,0.0,0.0,0.0
14,0.5390258823529411,0.522875,0.0,0.0,0.0
15,0.8918,0.8297573529411765,0.0,0.0,0.0
16,6.230250000000001,5.0055000000000005,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,
18,0.5390258823529411,0.522875,0.0,0.0,0.0
19,0.8918,0.8297573529411765,0.0,0.0,0.0
20,0.34610232558139536,0.37365000000000004,0.0,0.0,0.0
21,0.5390258823529411,0.522875,0.0,0.0,0.0
22,0.34610232558139536,0.37365000000000004,0.0,0.0,0.0
23,1.950975,2.612416666666667,0.0,0.0,0.0
24,0.8918,0.8297573529411765,0.0,0.0,0.0
25,0.5390258823529411,0.522875,0.0,0.0,0.0
26,6.230250000000001,5.0055000000000005,0.0,0.0,0.0
27,0.5390258823529411,0.522875,0.0,0.0,0.0
28,1.950975,2.612416666666667,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,
30,1.950975,2.612416666666667,0.0,0.0,0.0
31,0.8918,0.8297573529411765,0.0,0.0,0.0
32,0.8918,0.8297573529411765,0.0,0.0,0.0
33,0.34610232558139536,0.37365000000000004,0.0,0.0,0.0
34,0.34610232558139536,0.37365000000000004,0.0,0.0,0.0
35,0.8918,0.8297573529411765,0.0,0.0,0.0
36,0.34610232558139536,0.37365000000000004,0.0,0.0,0.0
37,0.5390258823529411,0.522875,0.0,0.0,0.0
38,0.8918,0.8297573529411765,0.0,0.0,0.0
39,0.34610232558139536,0.37365000000000004,0.0,0.0,0.0
40,0.5390258823529411,0.522875,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0,
42,0.5390258823529411,0.522875,0.0,0.0,0.0
43,0.5390258823529411,0.522875,0.0,0.0,0.0
44,6.230250000000001,5.0055000000000005,0.0,0.0,0.0
45,0.5390258823529411,0.522875,0.0,0.0,0.0
46,0.8918,0.8297573529411765,0.0,0.0,0.0
47,0.5390258823529411,0.522875,0.0,0.0,0.0
48,0.8918,0.8297573529411765,0.0,0.0,0.0
49,0.5390258823529411,0.522875,0.0,0.0,0.0
